Data from BiaccaWhite_Reflection__0__46.txt Node;
"Date: Thu Sep 11 17:04:56 CEST 2025 User: sycur";
290,955;53,17
291,22;53,28
291,484;53,38
291,749;53,47
292,014;53,56
292,278;53,66
292,543;53,75
292,807;53,84
293,072;53,93
293,336;53,99
293,6;54,05
293,865;54,13
294,129;54,21
294,394;54,29
294,658;54,36
294,922;54,45
295,187;54,5
295,451;54,57
295,715;54,65
295,98;54,71
296,244;54,76
296,508;54,81
296,773;54,85
297,037;54,91
297,301;54,95
297,565;55
297,829;55,04
298,094;55,1
298,358;55,15
298,622;55,19
298,886;55,25
299,15;55,31
299,414;55,35
299,678;55,41
299,942;55,45
300,206;55,49
300,47;55,5
300,734;55,55
300,998;55,58
301,262;55,59
301,526;55,63
301,79;55,66
302,054;55,69
302,318;55,7
302,582;55,72
302,846;55,76
303,11;55,79
303,374;55,81
303,637;55,84
303,901;55,85
304,165;55,87
304,429;55,89
304,693;55,89
304,956;55,91
305,22;55,92
305,484;55,91
305,747;55,93
306,011;55,96
306,275;55,94
306,538;55,96
306,802;55,97
307,066;55,98
307,329;56
307,593;56
307,856;56,02
308,12;56,03
308,384;56,01
308,647;56,01
308,911;56,02
309,174;56
309,438;55,99
309,701;55,99
309,964;55,98
310,228;55,98
310,491;55,99
310,755;55,98
311,018;55,99
311,281;55,96
311,545;55,95
311,808;55,94
312,071;55,93
312,335;55,93
312,598;55,91
312,861;55,9
313,124;55,89
313,388;55,89
313,651;55,88
313,914;55,85
314,177;55,85
314,44;55,84
314,704;55,82
314,967;55,81
315,23;55,77
315,493;55,74
315,756;55,72
316,019;55,68
316,282;55,66
316,545;55,63
316,808;55,62
317,071;55,63
317,334;55,61
317,597;55,6
317,86;55,57
318,123;55,54
318,386;55,51
318,649;55,47
318,912;55,44
319,175;55,41
319,437;55,4
319,7;55,38
319,963;55,33
320,226;55,32
320,489;55,29
320,751;55,28
321,014;55,25
321,277;55,24
321,54;55,19
321,802;55,16
322,065;55,11
322,328;55,07
322,59;55,03
322,853;54,99
