Data from bluEgizioWhite_Reflection__1__24.txt Node;
Date: Fri Sep 12 11:03:01 CEST 2025;
291,22;2,46
291,484;2,46
291,749;2,47
292,014;2,47
292,278;2,48
292,543;2,49
292,807;2,49
293,072;2,5
293,336;2,51
293,6;2,51
293,865;2,52
294,129;2,52
294,394;2,53
294,658;2,55
294,922;2,56
295,187;2,57
295,451;2,58
295,715;2,6
295,98;2,61
296,244;2,62
296,508;2,63
296,773;2,64
297,037;2,65
297,301;2,67
297,565;2,68
297,829;2,68
298,094;2,69
298,358;2,7
298,622;2,71
298,886;2,71
299,15;2,73
299,414;2,74
299,678;2,76
299,942;2,76
300,206;2,76
300,47;2,77
300,734;2,77
300,998;2,78
301,262;2,78
301,526;2,78
301,79;2,79
302,054;2,79
302,318;2,8
302,582;2,81
302,846;2,81
303,11;2,82
303,374;2,83
303,637;2,84
303,901;2,85
304,165;2,85
304,429;2,87
304,693;2,88
304,956;2,89
305,22;2,88
305,484;2,89
305,747;2,91
306,011;2,91
306,275;2,92
306,538;2,94
306,802;2,95
307,066;2,96
307,329;2,96
307,593;2,97
307,856;2,98
308,12;3
308,384;3,01
308,647;3,01
308,911;3,02
309,174;3,03
309,438;3,03
309,701;3,05
309,964;3,04
310,228;3,05
310,491;3,06
310,755;3,08
311,018;3,09
311,281;3,1
311,545;3,12
311,808;3,12
312,071;3,12
312,335;3,13
312,598;3,15
312,861;3,17
313,124;3,17
313,388;3,19
313,651;3,2
313,914;3,2
314,177;3,21
314,44;3,23
314,704;3,25
314,967;3,26
315,23;3,26
315,493;3,27
315,756;3,28
316,019;3,28
316,282;3,3
316,545;3,31
316,808;3,32
317,071;3,33
317,334;3,35
317,597;3,36
317,86;3,37
318,123;3,37
318,386;3,37
318,649;3,38
318,912;3,39
319,175;3,39
319,437;3,41
319,7;3,43
319,963;3,43
320,226;3,43
320,489;3,44
320,751;3,44
321,014;3,45
321,277;3,48
321,54;3,5
321,802;3,51
322,065;3,52
322,328;3,53
322,59;3,52
322,853;3,54
323,116;3,56
323,378;3,57
