Data from bluEgizioWhite_Reflection__0__23.txt Node;
Date: Fri Sep 12 11:01:59 CEST 2025;
291,22;59,43
291,484;59,5
291,749;59,61
292,014;59,69
292,278;59,78
292,543;59,86
292,807;59,98
293,072;60,06
293,336;60,14
293,6;60,22
293,865;60,3
294,129;60,39
294,394;60,47
294,658;60,55
294,922;60,65
295,187;60,72
295,451;60,8
295,715;60,9
295,98;61,01
296,244;61,12
296,508;61,23
296,773;61,33
297,037;61,43
297,301;61,5
297,565;61,6
297,829;61,7
298,094;61,81
298,358;61,91
298,622;62,01
298,886;62,11
299,15;62,21
299,414;62,31
299,678;62,41
299,942;62,52
300,206;62,62
300,47;62,72
300,734;62,83
300,998;62,95
301,262;63,04
301,526;63,12
301,79;63,2
302,054;63,28
302,318;63,37
302,582;63,48
302,846;63,58
303,11;63,67
303,374;63,77
303,637;63,87
303,901;63,95
304,165;64,06
304,429;64,15
304,693;64,25
304,956;64,36
305,22;64,45
305,484;64,57
305,747;64,68
306,011;64,78
306,275;64,87
306,538;64,96
306,802;65,07
307,066;65,17
307,329;65,27
307,593;65,38
307,856;65,49
308,12;65,6
308,384;65,72
308,647;65,83
308,911;65,91
309,174;66,01
309,438;66,12
309,701;66,2
309,964;66,3
310,228;66,4
310,491;66,5
310,755;66,62
311,018;66,74
311,281;66,83
311,545;66,93
311,808;67,03
312,071;67,13
312,335;67,24
312,598;67,35
312,861;67,47
313,124;67,57
313,388;67,67
313,651;67,78
313,914;67,91
314,177;68,01
314,44;68,15
314,704;68,27
314,967;68,37
315,23;68,5
315,493;68,64
315,756;68,74
316,019;68,83
316,282;68,95
316,545;69,05
316,808;69,18
317,071;69,29
317,334;69,41
317,597;69,53
317,86;69,62
318,123;69,72
318,386;69,83
318,649;69,94
318,912;70,05
319,175;70,14
319,437;70,22
319,7;70,33
319,963;70,44
320,226;70,54
320,489;70,66
320,751;70,75
321,014;70,85
321,277;70,96
321,54;71,08
321,802;71,18
322,065;71,28
322,328;71,37
322,59;71,47
322,853;71,58
323,116;71,7
323,378;71,83
323,641;71,94
323,903;72,04
324,166;72,16
324,428;72,28
324,691;72,41
324,953;72,49
325,216;72,6
325,478;72,72
325,741;72,86
326,003;72,97
326,266;73,07
326,528;73,18
326,791;73,29
327,053;73,42
327,315;73,53
327,578;73,65
327,84;73,79
328,102;73,91
328,365;74,03
328,627;74,14
328,889;74,24
329,151;74,37
329,414;74,49
329,676;74,59
329,938;74,69
330,2;74,81
330,462;74,94
330,725;75,07
330,987;75,15
331,249;75,26
331,511;75,38
331,773;75,5
332,035;75,64
332,297;75,77
332,559;75,85
332,821;75,95
333,083;76,06
333,345;76,13
333,607;76,24
333,869;76,31
334,131;76,41
334,393;76,53
334,655;76,64
334,917;76,77
335,179;76,88
335,44;77,01
335,702;77,13
335,964;77,26
336,226;77,35
336,488;77,49
336,749;77,6
337,011;77,7
337,273;77,85
337,535;77,96
337,796;78,09
338,058;78,26
338,32;78,35
338,581;78,47
338,843;78,63
339,105;78,77
339,366;78,9
339,628;79,03
339,889;79,14
340,151;79,23
340,412;79,33
340,674;79,45
340,935;79,58
341,197;79,66
341,458;79,79
341,72;79,92
341,981;79,99
342,243;80,11
342,504;80,24
342,766;80,31
343,027;80,39
343,288;80,46
343,55;80,52
343,811;80,61
344,072;80,71
344,334;80,8
344,595;80,9
344,856;80,99
345,117;81,1
345,379;81,23
345,64;81,33
345,901;81,44
346,162;81,53
346,423;81,6
346,684;81,71
346,946;81,79
347,207;81,88
347,468;82,01
347,729;82,07
347,99;82,12
348,251;82,23
348,512;82,35
348,773;82,45
349,034;82,55
349,295;82,65
349,556;82,75
349,817;82,84
350,078;82,9
350,339;83,03
350,6;83,11
350,86;83,18
351,121;83,29
351,382;83,37
351,643;83,49
351,904;83,57
352,165;83,66
352,425;83,74
352,686;83,87
352,947;83,95
353,208;84,08
353,468;84,18
353,729;84,25
353,99;84,3
354,25;84,38
354,511;84,45
354,772;84,54
355,032;84,61
355,293;84,7
355,553;84,83
355,814;84,88
356,074;84,94
356,335;85,01
356,596;85,1
356,856;85,2
357,116;85,25
357,377;85,38
357,637;85,45
357,898;85,53
358,158;85,56
358,419;85,61
358,679;85,67
358,939;85,75
359,2;85,83
359,46;85,93
359,72;86,01
359,981;86,11
360,241;86,18
360,501;86,24
360,761;86,32
361,022;86,35
361,282;86,41
361,542;86,52
361,802;86,6
362,062;86,67
362,323;86,7
362,583;86,78
362,843;86,82
363,103;86,92
363,363;86,95
363,623;87,07
363,883;87,15
364,143;87,25
364,403;87,32
364,663;87,38
364,923;87,41
365,183;87,47
365,443;87,54
365,703;87,61
365,963;87,68
366,223;87,72
366,483;87,76
366,743;87,86
367,002;87,91
367,262;87,98
367,522;88,03
367,782;88,12
368,042;88,18
368,301;88,25
368,561;88,27
368,821;88,35
369,081;88,41
369,34;88,49
369,6;88,54
369,86;88,58
370,119;88,63
370,379;88,74
370,638;88,82
370,898;88,88
371,158;88,93
371,417;89
371,677;89,08
371,936;89,14
372,196;89,17
372,455;89,22
372,715;89,31
372,974;89,39
373,234;89,45
373,493;89,53
373,753;89,59
374,012;89,68
374,271;89,74
374,531;89,79
374,79;89,81
375,049;89,87
375,309;89,95
375,568;90
375,827;90,03
376,086;90,08
376,346;90,13
376,605;90,2
376,864;90,27
377,123;90,31
377,383;90,41
377,642;90,47
377,901;90,55
378,16;90,56
378,419;90,61
378,678;90,63
378,937;90,69
379,196;90,76
379,455;90,79
379,714;90,82
379,973;90,86
380,232;90,94
380,491;90,99
380,75;91,04
381,009;91,11
381,268;91,18
381,527;91,25
381,786;91,3
382,045;91,37
382,304;91,41
382,563;91,47
382,821;91,5
383,08;91,57
383,339;91,62
383,598;91,69
383,857;91,71
384,115;91,83
384,374;91,87
384,633;91,88
384,891;91,95
385,15;92,02
385,409;92,09
385,667;92,14
385,926;92,18
386,185;92,24
386,443;92,3
386,702;92,36
