Data from bluEgizioWhite_Reflection__6__29.txt Node;
Date: Fri Sep 12 11:05:33 CEST 2025;
291,22;11,45
291,484;11,56
291,749;11,68
292,014;11,79
292,278;11,91
292,543;12,02
292,807;12,15
293,072;12,27
293,336;12,39
293,6;12,51
293,865;12,63
294,129;12,75
294,394;12,89
294,658;13,02
294,922;13,15
295,187;13,27
295,451;13,4
295,715;13,52
295,98;13,66
296,244;13,78
296,508;13,9
296,773;14,03
297,037;14,16
297,301;14,27
297,565;14,4
297,829;14,52
298,094;14,66
298,358;14,79
298,622;14,92
298,886;15,04
299,15;15,16
299,414;15,29
299,678;15,42
299,942;15,52
300,206;15,64
300,47;15,76
300,734;15,88
300,998;16
301,262;16,13
301,526;16,23
301,79;16,34
302,054;16,47
302,318;16,58
302,582;16,69
302,846;16,82
303,11;16,94
303,374;17,05
303,637;17,16
303,901;17,29
304,165;17,39
304,429;17,51
304,693;17,62
304,956;17,74
305,22;17,84
305,484;17,96
305,747;18,07
306,011;18,2
306,275;18,32
306,538;18,43
306,802;18,54
307,066;18,66
307,329;18,77
307,593;18,87
307,856;18,99
308,12;19,11
308,384;19,22
308,647;19,32
308,911;19,44
309,174;19,55
309,438;19,66
309,701;19,76
309,964;19,87
310,228;19,99
310,491;20,1
310,755;20,22
311,018;20,34
311,281;20,46
311,545;20,57
311,808;20,67
312,071;20,77
312,335;20,89
312,598;21
312,861;21,13
313,124;21,24
313,388;21,35
313,651;21,49
313,914;21,6
314,177;21,72
314,44;21,84
314,704;21,97
314,967;22,09
315,23;22,2
315,493;22,34
315,756;22,44
316,019;22,57
316,282;22,7
316,545;22,83
316,808;22,95
317,071;23,08
317,334;23,22
317,597;23,36
317,86;23,49
318,123;23,62
318,386;23,75
318,649;23,87
318,912;24
319,175;24,1
319,437;24,23
319,7;24,37
319,963;24,49
320,226;24,6
320,489;24,72
320,751;24,86
321,014;24,96
321,277;25,11
321,54;25,25
321,802;25,38
322,065;25,51
322,328;25,64
322,59;25,76
322,853;25,91
323,116;26,05
323,378;26,18
323,641;26,32
323,903;26,46
324,166;26,61
324,428;26,76
324,691;26,93
324,953;27,06
325,216;27,19
325,478;27,35
325,741;27,49
326,003;27,65
326,266;27,79
326,528;27,96
326,791;28,08
327,053;28,22
327,315;28,35
327,578;28,49
327,84;28,62
328,102;28,78
328,365;28,91
328,627;29,05
328,889;29,16
329,151;29,29
329,414;29,43
329,676;29,57
329,938;29,69
330,2;29,82
330,462;29,95
330,725;30,1
330,987;30,21
331,249;30,35
331,511;30,48
331,773;30,61
332,035;30,74
332,297;30,89
332,559;31,01
332,821;31,14
333,083;31,28
333,345;31,42
333,607;31,56
333,869;31,71
334,131;31,84
334,393;32,01
334,655;32,18
334,917;32,34
335,179;32,48
335,44;32,65
335,702;32,8
335,964;32,98
336,226;33,12
336,488;33,31
336,749;33,48
337,011;33,64
337,273;33,81
337,535;33,98
337,796;34,13
338,058;34,31
338,32;34,47
