Data from azuriteWhite_Reflection__4__09.txt Node;
"Date: Thu Sep 11 15:29:32 CEST 2025 User: sycur";
291,484;2,04
291,749;2,04
292,014;2,04
292,278;2,05
292,543;2,05
292,807;2,06
293,072;2,06
293,336;2,06
293,6;2,05
293,865;2,05
294,129;2,05
294,394;2,06
294,658;2,06
294,922;2,06
295,187;2,05
295,451;2,06
295,715;2,06
295,98;2,06
296,244;2,07
296,508;2,07
296,773;2,06
297,037;2,05
297,301;2,05
297,565;2,06
297,829;2,05
298,094;2,05
298,358;2,05
298,622;2,04
298,886;2,03
299,15;2,04
299,414;2,05
299,678;2,05
299,942;2,04
300,206;2,04
300,47;2,04
300,734;2,04
300,998;2,03
301,262;2,03
301,526;2,03
301,79;2,03
302,054;2,03
302,318;2,03
302,582;2,03
302,846;2,03
303,11;2,03
303,374;2,03
303,637;2,03
303,901;2,02
304,165;2,02
304,429;2,03
304,693;2,02
304,956;2,01
305,22;2,01
305,484;2,01
305,747;2,02
306,011;2,01
306,275;2
306,538;2,02
306,802;2,01
307,066;2,01
307,329;2,01
307,593;2,01
307,856;2,02
308,12;2,02
308,384;2,01
308,647;2,01
308,911;2
309,174;2
309,438;2,01
309,701;2,02
309,964;2,02
310,228;2,02
310,491;2,03
310,755;2,03
311,018;2,03
311,281;2,02
311,545;2,04
311,808;2,04
312,071;2,02
312,335;2,02
312,598;2,02
312,861;2,02
313,124;2,01
313,388;2,01
313,651;2,02
313,914;2,02
314,177;2,04
314,44;2,03
314,704;2,04
314,967;2,03
315,23;2,02
315,493;2,02
315,756;2,03
316,019;2,03
316,282;2,03
316,545;2,03
316,808;2,04
317,071;2,04
317,334;2,05
317,597;2,05
317,86;2,07
318,123;2,06
318,386;2,06
318,649;2,06
318,912;2,06
319,175;2,05
319,437;2,05
319,7;2,04
319,963;2,04
320,226;2,04
320,489;2,03
320,751;2,03
321,014;2,04
321,277;2,03
321,54;2,02
321,802;2,01
322,065;2,01
322,328;2
322,59;2
322,853;1,99
323,116;2
323,378;2
323,641;2
323,903;2
324,166;2
324,428;1,99
324,691;2
324,953;2
325,216;2
325,478;2
325,741;1,99
326,003;2
326,266;1,99
326,528;1,99
326,791;2
327,053;2
327,315;1,99
327,578;2
327,84;1,99
328,102;1,99
328,365;1,99
328,627;1,97
328,889;1,98
329,151;1,98
329,414;1,98
329,676;1,99
329,938;2
330,2;2
330,462;2
330,725;2
330,987;2
331,249;2
331,511;2
331,773;2
332,035;2
332,297;2
332,559;2,02
332,821;2,02
333,083;2,02
333,345;2,03
333,607;2,05
333,869;2,05
334,131;2,05
334,393;2,04
334,655;2,04
334,917;2,03
335,179;2,02
335,44;2,02
335,702;2,02
335,964;2,03
336,226;2,03
336,488;2,04
336,749;2,05
337,011;2,06
337,273;2,07
337,535;2,07
337,796;2,07
338,058;2,06
338,32;2,06
338,581;2,05
338,843;2,05
339,105;2,05
339,366;2,06
339,628;2,08
339,889;2,1
340,151;2,11
340,412;2,12
340,674;2,13
340,935;2,13
341,197;2,15
341,458;2,15
341,72;2,16
341,981;2,16
342,243;2,16
342,504;2,16
342,766;2,18
343,027;2,18
343,288;2,19
343,55;2,2
343,811;2,2
344,072;2,23
344,334;2,24
344,595;2,24
344,856;2,25
345,117;2,24
345,379;2,25
345,64;2,25
345,901;2,25
346,162;2,25
346,423;2,26
346,684;2,25
346,946;2,26
347,207;2,25
347,468;2,27
347,729;2,26
347,99;2,28
348,251;2,29
348,512;2,3
348,773;2,3
349,034;2,29
349,295;2,31
349,556;2,31
349,817;2,3
350,078;2,3
350,339;2,31
350,6;2,33
350,86;2,32
351,121;2,33
351,382;2,34
351,643;2,35
351,904;2,34
352,165;2,36
352,425;2,38
352,686;2,4
352,947;2,41
353,208;2,41
353,468;2,41
353,729;2,4
353,99;2,41
354,25;2,42
354,511;2,44
354,772;2,44
355,032;2,43
355,293;2,46
355,553;2,45
355,814;2,46
356,074;2,46
356,335;2,48
356,596;2,49
356,856;2,49
357,116;2,51
357,377;2,52
357,637;2,53
357,898;2,54
358,158;2,53
358,419;2,57
358,679;2,58
358,939;2,59
359,2;2,6
359,46;2,6
359,72;2,62
359,981;2,63
360,241;2,65
360,501;2,69
360,761;2,69
361,022;2,72
361,282;2,74
361,542;2,77
361,802;2,79
362,062;2,8
362,323;2,84
362,583;2,85
362,843;2,88
363,103;2,9
363,363;2,9
363,623;2,94
363,883;2,95
364,143;2,96
364,403;2,98
364,663;3,03
364,923;3,05
365,183;3,07
365,443;3,1
365,703;3,12
365,963;3,13
366,223;3,16
366,483;3,19
366,743;3,21
367,002;3,24
367,262;3,27
367,522;3,3
367,782;3,32
368,042;3,35
368,301;3,37
368,561;3,4
368,821;3,43
369,081;3,45
369,34;3,49
369,6;3,52
369,86;3,55
370,119;3,55
370,379;3,58
370,638;3,6
370,898;3,62
371,158;3,66
371,417;3,7
371,677;3,74
371,936;3,77
372,196;3,8
372,455;3,82
372,715;3,83
372,974;3,88
373,234;3,92
373,493;3,96
373,753;4,02
374,012;4,06
374,271;4,1
374,531;4,14
374,79;4,16
375,049;4,21
375,309;4,27
375,568;4,32
375,827;4,38
376,086;4,43
376,346;4,49
376,605;4,53
376,864;4,57
377,123;4,62
377,383;4,65
377,642;4,71
377,901;4,76
378,16;4,82
378,419;4,86
378,678;4,9
378,937;4,96
379,196;4,99
379,455;5,04
379,714;5,09
379,973;5,15
380,232;5,22
380,491;5,27
380,75;5,31
381,009;5,37
381,268;5,43
381,527;5,49
381,786;5,54
382,045;5,59
382,304;5,66
382,563;5,72
382,821;5,79
383,08;5,85
383,339;5,93
383,598;5,99
383,857;6,06
384,115;6,12
384,374;6,18
384,633;6,24
384,891;6,3
385,15;6,37
385,409;6,45
385,667;6,51
385,926;6,57
386,185;6,65
386,443;6,71
386,702;6,78
386,96;6,84
387,219;6,92
387,477;6,99
387,736;7,06
387,994;7,12
388,253;7,19
388,511;7,28
388,77;7,34
389,028;7,41
389,287;7,48
389,545;7,58
389,803;7,67
390,062;7,76
390,32;7,86
390,578;7,95
390,837;8,02
391,095;8,1
391,353;8,2
391,612;8,28
391,87;8,36
392,128;8,43
392,386;8,52
392,644;8,63
392,903;8,72
393,161;8,8
393,419;8,89
393,677;8,98
393,935;9,04
394,193;9,13
394,451;9,24
394,709;9,32
394,967;9,41
395,225;9,51
395,483;9,6
395,741;9,69
395,999;9,78
396,257;9,91
396,515;9,99
396,773;10,08
397,031;10,18
397,289;10,28
397,547;10,38
397,805;10,48
398,062;10,56
398,32;10,64
398,578;10,73
398,836;10,83
399,094;10,9
399,351;10,99
399,609;11,07
399,867;11,15
400,124;11,25
400,382;11,32
400,64;11,4
400,897;11,5
401,155;11,58
401,413;11,67
401,67;11,74
401,928;11,84
402,185;11,91
402,443;12,01
402,701;12,11
402,958;12,22
403,216;12,31
403,473;12,4
403,73;12,47
403,988;12,55
404,245;12,61
404,503;12,72
404,76;12,8
405,018;12,89
405,275;12,98
405,532;13,05
405,79;13,14
406,047;13,21
406,304;13,31
406,561;13,4
406,819;13,47
407,076;13,55
407,333;13,62
407,59;13,72
407,848;13,8
408,105;13,87
408,362;13,95
408,619;14,03
408,876;14,11
409,133;14,2
409,39;14,3
409,647;14,4
409,904;14,48
410,161;14,59
410,418;14,67
410,675;14,77
410,932;14,88
411,189;14,96
411,446;15,06
411,703;15,14
411,96;15,23
412,217;15,32
412,474;15,43
412,731;15,54
412,988;15,61
413,245;15,71
413,501;15,79
413,758;15,87
414,015;15,95
414,272;16,05
414,529;16,13
414,785;16,2
415,042;16,27
415,299;16,36
415,555;16,43
415,812;16,51
416,069;16,58
416,325;16,66
416,582;16,74
416,838;16,81
417,095;16,88
417,352;16,95
417,608;17,03
417,865;17,1
418,121;17,18
418,378;17,3
418,634;17,4
418,891;17,51
419,147;17,61
419,403;17,7
419,66;17,78
419,916;17,91
420,173;18,01
420,429;18,12
420,685;18,18
420,942;18,29
421,198;18,37
421,454;18,48
421,711;18,56
421,967;18,65
422,223;18,75
422,479;18,84
422,735;18,93
422,992;19,01
423,248;19,09
423,504;19,16
423,76;19,21
424,016;19,28
424,272;19,35
424,528;19,4
424,784;19,47
425,041;19,54
425,297;19,6
425,553;19,69
425,809;19,75
426,065;19,85
426,32;19,92
426,576;20,02
426,832;20,08
427,088;20,16
427,344;20,25
427,6;20,33
427,856;20,41
428,112;20,5
428,368;20,58
428,623;20,66
428,879;20,72
429,135;20,78
429,391;20,85
429,646;20,93
429,902;21,02
430,158;21,1
430,414;21,16
430,669;21,24
430,925;21,32
431,181;21,4
431,436;21,46
431,692;21,53
431,947;21,6
432,203;21,69
432,458;21,75
432,714;21,82
432,97;21,89
433,225;21,96
433,481;22,02
433,736;22,1
433,991;22,16
434,247;22,26
434,502;22,35
434,758;22,43
435,013;22,49
435,268;22,56
435,524;22,63
435,779;22,72
436,034;22,79
436,29;22,85
436,545;22,93
436,8;23
437,056;23,06
437,311;23,13
437,566;23,2
437,821;23,27
438,076;23,34
438,331;23,4
438,587;23,47
438,842;23,57
439,097;23,65
439,352;23,76
439,607;23,8
439,862;23,89
440,117;23,96
440,372;24,06
440,627;24,14
440,882;24,22
441,137;24,31
441,392;24,37
441,647;24,44
441,902;24,52
442,157;24,58
442,412;24,66
442,667;24,72
442,921;24,78
443,176;24,86
443,431;24,94
443,686;25,01
443,941;25,08
444,195;25,14
444,45;25,21
444,705;25,23
444,96;25,31
445,214;25,35
445,469;25,39
445,724;25,43
445,978;25,47
446,233;25,51
446,487;25,54
446,742;25,59
446,997;25,65
447,251;25,66
447,506;25,72
447,76;25,75
