Data from CoccinigliaWhite_Reflection__1__47.txt Node;
"Date: Fri Sep 12 11:37:40 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
286,455;1,14
286,72;1,16
286,985;1,17
287,249;1,18
287,514;1,18
287,779;1,2
288,044;1,2
288,309;1,2
288,573;1,2
288,838;1,21
289,103;1,22
289,367;1,22
289,632;1,23
289,897;1,23
290,161;1,22
290,426;1,22
290,691;1,23
290,955;1,23
291,22;1,23
291,484;1,22
291,749;1,23
292,014;1,23
292,278;1,24
292,543;1,23
292,807;1,23
293,072;1,24
293,336;1,23
293,6;1,23
293,865;1,24
294,129;1,24
294,394;1,25
294,658;1,25
294,922;1,25
295,187;1,25
295,451;1,25
295,715;1,26
295,98;1,27
296,244;1,28
296,508;1,28
296,773;1,28
297,037;1,27
297,301;1,27
297,565;1,27
297,829;1,26
298,094;1,27
298,358;1,27
298,622;1,27
298,886;1,28
299,15;1,27
299,414;1,28
299,678;1,29
299,942;1,27
300,206;1,26
300,47;1,27
300,734;1,26
300,998;1,27
301,262;1,27
301,526;1,27
301,79;1,26
302,054;1,26
302,318;1,26
302,582;1,27
302,846;1,26
303,11;1,26
303,374;1,27
303,637;1,26
303,901;1,26
304,165;1,25
304,429;1,25
304,693;1,26
304,956;1,25
305,22;1,24
305,484;1,25
305,747;1,25
306,011;1,24
306,275;1,24
306,538;1,24
306,802;1,24
307,066;1,24
307,329;1,24
307,593;1,24
307,856;1,24
308,12;1,24
308,384;1,24
308,647;1,24
308,911;1,22
309,174;1,23
309,438;1,23
309,701;1,23
309,964;1,22
310,228;1,22
310,491;1,22
310,755;1,22
311,018;1,23
311,281;1,22
311,545;1,22
311,808;1,21
312,071;1,2
312,335;1,18
312,598;1,19
312,861;1,19
313,124;1,18
313,388;1,18
313,651;1,18
313,914;1,17
314,177;1,17
314,44;1,17
314,704;1,17
314,967;1,16
315,23;1,15
315,493;1,17
315,756;1,15
316,019;1,14
316,282;1,15
316,545;1,14
316,808;1,15
317,071;1,15
317,334;1,15
317,597;1,16
317,86;1,16
318,123;1,15
318,386;1,15
318,649;1,14
318,912;1,14
319,175;1,13
319,437;1,13
319,7;1,14
319,963;1,13
320,226;1,13
320,489;1,14
320,751;1,13
321,014;1,13
321,277;1,14
321,54;1,14
321,802;1,14
322,065;1,14
322,328;1,13
322,59;1,12
322,853;1,12
323,116;1,12
323,378;1,13
323,641;1,14
323,903;1,14
324,166;1,14
324,428;1,14
324,691;1,12
324,953;1,11
325,216;1,1
325,478;1,1
325,741;1,09
326,003;1,08
326,266;1,09
326,528;1,08
326,791;1,09
327,053;1,08
327,315;1,07
327,578;1,07
327,84;1,07
328,102;1,07
328,365;1,08
328,627;1,07
328,889;1,06
329,151;1,05
329,414;1,05
329,676;1,05
329,938;1,06
330,2;1,07
330,462;1,08
330,725;1,08
330,987;1,08
331,249;1,08
331,511;1,09
331,773;1,08
332,035;1,09
332,297;1,08
332,559;1,08
332,821;1,08
333,083;1,09
333,345;1,09
333,607;1,09
333,869;1,08
