Data from CoccinigliaWhite_Reflection__2__48.txt Node;
"Date: Fri Sep 12 11:38:17 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
286,455;4,13
286,72;4,12
286,985;4,12
287,249;4,12
287,514;4,11
287,779;4,12
288,044;4,11
288,309;4,11
288,573;4,11
288,838;4,12
289,103;4,12
289,367;4,12
289,632;4,11
289,897;4,1
290,161;4,1
290,426;4,09
290,691;4,08
290,955;4,08
291,22;4,08
291,484;4,08
291,749;4,08
292,014;4,07
292,278;4,06
292,543;4,06
292,807;4,06
293,072;4,06
293,336;4,05
293,6;4,05
293,865;4,05
294,129;4,04
294,394;4,04
294,658;4,05
294,922;4,05
295,187;4,05
295,451;4,05
295,715;4,06
295,98;4,07
296,244;4,07
296,508;4,07
296,773;4,07
297,037;4,07
297,301;4,06
297,565;4,06
297,829;4,05
298,094;4,06
298,358;4,06
298,622;4,05
298,886;4,05
299,15;4,05
299,414;4,05
299,678;4,06
299,942;4,05
300,206;4,04
300,47;4,04
300,734;4,04
300,998;4,04
301,262;4,04
301,526;4,03
301,79;4,02
302,054;4,01
302,318;4
302,582;4,01
302,846;4
303,11;4
303,374;4,01
303,637;4
303,901;4,01
304,165;4,01
304,429;4,01
304,693;4
304,956;4
305,22;3,99
305,484;4
305,747;4
306,011;3,99
306,275;3,99
306,538;3,99
306,802;4
307,066;4
307,329;3,99
307,593;4
307,856;3,99
308,12;3,99
308,384;3,99
308,647;3,98
308,911;3,97
309,174;3,97
309,438;3,96
309,701;3,95
309,964;3,94
310,228;3,94
310,491;3,93
310,755;3,93
311,018;3,94
311,281;3,93
311,545;3,92
311,808;3,91
312,071;3,9
312,335;3,88
312,598;3,88
312,861;3,87
313,124;3,86
313,388;3,87
313,651;3,86
313,914;3,85
314,177;3,85
314,44;3,85
314,704;3,84
314,967;3,84
315,23;3,84
315,493;3,84
315,756;3,83
316,019;3,82
316,282;3,83
316,545;3,81
316,808;3,81
317,071;3,81
317,334;3,81
317,597;3,8
317,86;3,79
318,123;3,78
318,386;3,77
318,649;3,77
318,912;3,76
319,175;3,75
319,437;3,76
319,7;3,76
319,963;3,75
320,226;3,73
320,489;3,72
320,751;3,7
321,014;3,7
321,277;3,69
321,54;3,69
321,802;3,68
322,065;3,68
322,328;3,66
322,59;3,64
322,853;3,64
323,116;3,64
323,378;3,64
323,641;3,65
323,903;3,65
324,166;3,65
324,428;3,64
324,691;3,63
324,953;3,62
325,216;3,61
325,478;3,61
325,741;3,61
326,003;3,61
326,266;3,61
326,528;3,61
326,791;3,61
327,053;3,61
327,315;3,6
327,578;3,59
327,84;3,59
328,102;3,6
328,365;3,59
328,627;3,59
328,889;3,58
329,151;3,58
329,414;3,56
329,676;3,56
329,938;3,55
330,2;3,56
330,462;3,55
330,725;3,55
330,987;3,54
331,249;3,53
331,511;3,53
331,773;3,54
332,035;3,53
332,297;3,51
332,559;3,51
332,821;3,51
333,083;3,51
333,345;3,51
333,607;3,5
333,869;3,5
334,131;3,5
334,393;3,5
334,655;3,48
334,917;3,48
335,179;3,48
335,44;3,47
335,702;3,46
335,964;3,45
336,226;3,45
336,488;3,45
336,749;3,46
337,011;3,46
337,273;3,46
337,535;3,46
337,796;3,45
338,058;3,45
338,32;3,45
338,581;3,45
338,843;3,45
339,105;3,46
339,366;3,45
339,628;3,45
339,889;3,45
340,151;3,46
340,412;3,45
340,674;3,45
340,935;3,45
341,197;3,46
341,458;3,46
341,72;3,46
341,981;3,46
342,243;3,45
342,504;3,44
342,766;3,43
343,027;3,42
343,288;3,43
343,55;3,43
343,811;3,42
344,072;3,42
344,334;3,41
344,595;3,4
344,856;3,4
345,117;3,39
345,379;3,38
345,64;3,39
345,901;3,39
346,162;3,38
346,423;3,39
346,684;3,37
346,946;3,36
347,207;3,37
347,468;3,37
347,729;3,37
347,99;3,37
348,251;3,36
348,512;3,37
348,773;3,36
349,034;3,36
349,295;3,34
349,556;3,32
349,817;3,32
350,078;3,32
350,339;3,33
350,6;3,32
350,86;3,31
351,121;3,3
351,382;3,3
351,643;3,3
351,904;3,28
352,165;3,29
352,425;3,28
352,686;3,28
352,947;3,26
353,208;3,27
353,468;3,28
353,729;3,28
353,99;3,28
354,25;3,28
354,511;3,28
354,772;3,29
355,032;3,32
355,293;3,3
355,553;3,3
355,814;3,3
356,074;3,32
356,335;3,31
356,596;3,3
356,856;3,32
357,116;3,33
357,377;3,34
357,637;3,34
357,898;3,37
358,158;3,36
358,419;3,37
358,679;3,37
358,939;3,36
359,2;3,37
359,46;3,36
359,72;3,37
359,981;3,36
360,241;3,35
360,501;3,33
360,761;3,35
361,022;3,35
361,282;3,35
361,542;3,35
361,802;3,36
362,062;3,36
362,323;3,34
362,583;3,34
362,843;3,33
363,103;3,34
363,363;3,31
363,623;3,32
363,883;3,32
364,143;3,32
364,403;3,31
364,663;3,31
364,923;3,32
365,183;3,31
365,443;3,34
365,703;3,34
365,963;3,36
366,223;3,35
366,483;3,35
366,743;3,36
367,002;3,36
367,262;3,37
367,522;3,38
367,782;3,38
368,042;3,37
368,301;3,37
368,561;3,37
368,821;3,39
369,081;3,39
369,34;3,38
369,6;3,38
369,86;3,39
370,119;3,39
370,379;3,39
370,638;3,4
370,898;3,38
371,158;3,39
371,417;3,4
371,677;3,41
371,936;3,41
372,196;3,42
372,455;3,41
372,715;3,41
372,974;3,43
373,234;3,45
373,493;3,47
373,753;3,48
374,012;3,5
374,271;3,49
374,531;3,51
374,79;3,53
375,049;3,53
375,309;3,53
375,568;3,55
375,827;3,56
376,086;3,56
376,346;3,57
376,605;3,58
376,864;3,6
377,123;3,6
377,383;3,6
377,642;3,6
377,901;3,61
378,16;3,62
378,419;3,61
378,678;3,61
378,937;3,6
379,196;3,59
379,455;3,58
379,714;3,59
379,973;3,58
380,232;3,59
380,491;3,61
380,75;3,62
381,009;3,61
381,268;3,62
381,527;3,63
381,786;3,64
382,045;3,62
382,304;3,63
382,563;3,64
382,821;3,65
383,08;3,66
383,339;3,67
383,598;3,66
383,857;3,68
384,115;3,71
384,374;3,72
384,633;3,74
384,891;3,75
385,15;3,77
385,409;3,78
385,667;3,8
385,926;3,8
386,185;3,81
386,443;3,81
386,702;3,83
386,96;3,82
387,219;3,83
387,477;3,85
387,736;3,86
387,994;3,86
388,253;3,88
388,511;3,89
388,77;3,9
389,028;3,91
389,287;3,91
389,545;3,91
389,803;3,9
390,062;3,91
390,32;3,92
390,578;3,91
390,837;3,91
391,095;3,91
391,353;3,93
391,612;3,95
391,87;3,96
392,128;3,96
392,386;3,97
392,644;3,98
392,903;3,97
393,161;3,95
393,419;3,95
393,677;3,94
393,935;3,93
394,193;3,94
394,451;3,95
394,709;3,95
394,967;3,95
395,225;3,97
395,483;3,97
395,741;3,98
395,999;3,99
396,257;3,99
396,515;4
396,773;4
397,031;3,98
397,289;4
397,547;3,99
397,805;3,97
398,062;3,98
398,32;3,99
398,578;4
398,836;4
399,094;4,01
399,351;4,01
399,609;3,99
399,867;3,98
400,124;3,97
400,382;3,98
400,64;3,99
400,897;3,99
401,155;3,98
401,413;4
401,67;4
401,928;4,01
402,185;4,02
402,443;4,04
402,701;4,03
402,958;4,05
403,216;4,06
403,473;4,06
403,73;4,06
403,988;4,08
404,245;4,09
404,503;4,11
404,76;4,13
405,018;4,14
405,275;4,15
405,532;4,16
405,79;4,16
406,047;4,17
406,304;4,17
406,561;4,18
406,819;4,16
407,076;4,17
407,333;4,15
407,59;4,13
407,848;4,12
408,105;4,13
408,362;4,12
408,619;4,13
408,876;4,12
409,133;4,12
409,39;4,11
409,647;4,1
409,904;4,09
410,161;4,08
410,418;4,09
410,675;4,09
410,932;4,1
411,189;4,08
411,446;4,09
411,703;4,1
411,96;4,08
412,217;4,09
412,474;4,07
412,731;4,09
412,988;4,1
413,245;4,09
413,501;4,07
413,758;4,07
414,015;4,06
414,272;4,07
414,529;4,07
414,785;4,05
415,042;4,05
415,299;4,03
415,555;4,03
415,812;4,02
416,069;4,01
416,325;3,99
416,582;4,01
416,838;4,01
417,095;3,97
417,352;3,96
417,608;3,95
417,865;3,94
418,121;3,92
418,378;3,92
418,634;3,94
418,891;3,95
419,147;3,96
419,403;3,96
419,66;3,95
419,916;3,95
420,173;3,96
420,429;3,94
420,685;3,95
420,942;3,95
421,198;3,95
421,454;3,96
421,711;3,98
421,967;3,96
422,223;3,92
422,479;3,95
422,735;3,95
422,992;3,95
423,248;3,92
423,504;3,93
423,76;3,93
424,016;3,91
424,272;3,9
424,528;3,89
424,784;3,9
425,041;3,9
425,297;3,91
425,553;3,91
425,809;3,91
426,065;3,91
426,32;3,89
426,576;3,88
426,832;3,86
427,088;3,85
427,344;3,86
427,6;3,87
427,856;3,86
428,112;3,85
428,368;3,87
428,623;3,89
428,879;3,9
429,135;3,88
429,391;3,88
429,646;3,87
429,902;3,87
430,158;3,85
430,414;3,85
430,669;3,85
430,925;3,83
431,181;3,83
431,436;3,83
431,692;3,82
431,947;3,82
432,203;3,81
432,458;3,8
432,714;3,79
432,97;3,78
433,225;3,77
433,481;3,77
433,736;3,74
433,991;3,74
434,247;3,72
434,502;3,71
434,758;3,72
435,013;3,73
435,268;3,73
435,524;3,71
435,779;3,7
436,034;3,68
436,29;3,7
436,545;3,68
436,8;3,67
437,056;3,67
437,311;3,66
437,566;3,66
437,821;3,66
438,076;3,66
438,331;3,66
438,587;3,66
438,842;3,66
439,097;3,66
439,352;3,66
439,607;3,64
439,862;3,65
440,117;3,63
440,372;3,61
440,627;3,6
440,882;3,6
441,137;3,59
441,392;3,59
441,647;3,59
441,902;3,6
442,157;3,59
442,412;3,61
442,667;3,62
442,921;3,62
443,176;3,63
443,431;3,63
443,686;3,62
443,941;3,62
444,195;3,61
444,45;3,62
444,705;3,62
444,96;3,63
445,214;3,63
445,469;3,63
445,724;3,61
445,978;3,6
446,233;3,6
446,487;3,61
446,742;3,61
446,997;3,59
447,251;3,57
447,506;3,58
447,76;3,56
448,015;3,55
448,269;3,53
448,524;3,5
448,778;3,49
449,033;3,48
449,287;3,48
449,541;3,48
449,796;3,47
450,05;3,45
450,305;3,43
450,559;3,42
450,813;3,42
451,067;3,42
451,322;3,42
451,576;3,41
451,83;3,39
452,084;3,39
452,339;3,38
452,593;3,39
452,847;3,36
453,101;3,36
453,355;3,35
453,609;3,35
453,864;3,37
454,118;3,36
454,372;3,36
454,626;3,35
454,88;3,35
455,134;3,36
455,388;3,39
455,642;3,41
455,896;3,41
456,15;3,39
456,404;3,39
456,658;3,39
456,912;3,39
457,165;3,4
457,419;3,39
457,673;3,42
457,927;3,42
458,181;3,43
458,435;3,44
458,688;3,46
458,942;3,46
459,196;3,44
459,45;3,45
459,703;3,44
459,957;3,43
460,211;3,43
460,464;3,45
460,718;3,41
460,972;3,4
461,225;3,4
461,479;3,41
461,732;3,42
461,986;3,4
462,239;3,41
462,493;3,42
462,746;3,42
463;3,39
463,253;3,39
463,507;3,38
463,76;3,36
464,014;3,35
464,267;3,35
464,52;3,35
464,774;3,35
465,027;3,35
465,28;3,37
465,534;3,37
465,787;3,36
466,04;3,35
466,294;3,34
466,547;3,35
466,8;3,35
467,053;3,34
467,306;3,36
467,56;3,34
467,813;3,33
468,066;3,32
468,319;3,34
468,572;3,33
468,825;3,33
469,078;3,33
469,331;3,33
469,584;3,34
469,837;3,33
470,09;3,32
470,343;3,31
470,596;3,29
470,849;3,28
471,102;3,26
471,355;3,26
471,608;3,26
471,861;3,25
472,114;3,24
472,367;3,24
472,619;3,24
472,872;3,23
473,125;3,23
473,378;3,23
473,631;3,22
473,883;3,21
474,136;3,21
474,389;3,21
474,641;3,21
474,894;3,2
475,147;3,21
475,399;3,21
475,652;3,21
475,905;3,22
476,157;3,2
476,41;3,2
476,662;3,21
476,915;3,19
477,167;3,19
477,42;3,21
477,672;3,22
477,925;3,21
478,177;3,22
478,43;3,23
478,682;3,23
478,934;3,23
479,187;3,24
479,439;3,23
479,691;3,23
479,944;3,24
480,196;3,23
480,448;3,24
480,701;3,25
480,953;3,25
481,205;3,24
481,457;3,25
481,709;3,26
481,962;3,27
482,214;3,3
482,466;3,32
482,718;3,32
482,97;3,35
483,222;3,38
483,474;3,4
483,726;3,41
483,978;3,42
484,23;3,43
484,482;3,44
484,734;3,45
484,986;3,44
485,238;3,44
485,49;3,45
485,742;3,44
485,994;3,43
486,246;3,44
486,498;3,43
486,75;3,44
487,001;3,43
487,253;3,43
487,505;3,42
487,757;3,4
488,009;3,4
488,26;3,39
488,512;3,36
488,764;3,33
489,015;3,31
489,267;3,29
489,519;3,28
489,77;3,27
490,022;3,25
490,274;3,24
490,525;3,25
490,777;3,23
491,028;3,24
491,28;3,24
491,531;3,23
491,783;3,23
492,034;3,23
492,286;3,23
492,537;3,23
492,789;3,23
493,04;3,23
493,291;3,22
493,543;3,21
493,794;3,2
494,045;3,21
494,297;3,21
494,548;3,22
494,799;3,23
495,051;3,23
495,302;3,23
495,553;3,23
495,804;3,23
496,056;3,24
496,307;3,24
496,558;3,24
496,809;3,25
497,06;3,26
