Data from CoccinigliaWhite_Reflection__3__49.txt Node;
"Date: Fri Sep 12 11:39:08 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
286,455;3,45
286,72;3,45
286,985;3,46
287,249;3,47
287,514;3,46
287,779;3,48
288,044;3,47
288,309;3,47
288,573;3,47
288,838;3,48
289,103;3,48
289,367;3,48
289,632;3,48
289,897;3,47
290,161;3,47
290,426;3,47
290,691;3,47
290,955;3,47
291,22;3,46
291,484;3,45
291,749;3,46
292,014;3,46
292,278;3,46
292,543;3,46
292,807;3,46
293,072;3,46
293,336;3,46
293,6;3,45
293,865;3,44
294,129;3,44
294,394;3,45
294,658;3,45
294,922;3,44
295,187;3,45
295,451;3,45
295,715;3,45
295,98;3,45
296,244;3,44
296,508;3,44
296,773;3,43
297,037;3,44
297,301;3,44
297,565;3,43
297,829;3,43
298,094;3,43
298,358;3,43
298,622;3,42
298,886;3,42
299,15;3,43
299,414;3,42
299,678;3,43
299,942;3,42
300,206;3,41
300,47;3,41
300,734;3,4
300,998;3,4
301,262;3,4
301,526;3,4
301,79;3,38
302,054;3,38
302,318;3,38
302,582;3,38
302,846;3,37
303,11;3,37
303,374;3,36
303,637;3,35
303,901;3,35
304,165;3,34
304,429;3,35
304,693;3,34
304,956;3,34
305,22;3,33
305,484;3,32
305,747;3,32
306,011;3,32
306,275;3,31
306,538;3,31
306,802;3,31
307,066;3,31
307,329;3,31
307,593;3,32
307,856;3,32
308,12;3,32
308,384;3,31
308,647;3,29
308,911;3,28
309,174;3,28
309,438;3,27
309,701;3,27
309,964;3,25
310,228;3,24
310,491;3,23
310,755;3,23
311,018;3,23
311,281;3,23
311,545;3,21
311,808;3,21
312,071;3,2
312,335;3,18
312,598;3,19
312,861;3,17
313,124;3,15
313,388;3,13
313,651;3,13
313,914;3,12
314,177;3,12
314,44;3,12
314,704;3,12
314,967;3,11
315,23;3,11
315,493;3,11
315,756;3,11
316,019;3,11
316,282;3,1
316,545;3,1
316,808;3,1
317,071;3,11
317,334;3,1
317,597;3,1
317,86;3,1
318,123;3,08
318,386;3,09
318,649;3,09
318,912;3,09
319,175;3,09
319,437;3,09
319,7;3,1
319,963;3,09
320,226;3,08
320,489;3,07
320,751;3,07
321,014;3,07
321,277;3,06
321,54;3,06
321,802;3,07
322,065;3,06
322,328;3,05
322,59;3,04
322,853;3,04
323,116;3,05
323,378;3,05
323,641;3,05
323,903;3,05
324,166;3,05
324,428;3,05
324,691;3,04
324,953;3,02
325,216;3,01
325,478;3,01
325,741;3,02
326,003;3,01
326,266;3
326,528;3,01
326,791;3
327,053;3
327,315;2,98
327,578;2,97
327,84;2,97
328,102;2,98
328,365;2,97
328,627;2,97
328,889;2,96
329,151;2,96
329,414;2,95
329,676;2,94
329,938;2,92
330,2;2,92
330,462;2,93
330,725;2,92
330,987;2,91
331,249;2,9
331,511;2,9
331,773;2,9
332,035;2,9
332,297;2,89
332,559;2,89
332,821;2,88
333,083;2,89
333,345;2,88
333,607;2,88
333,869;2,87
334,131;2,86
334,393;2,87
334,655;2,85
334,917;2,85
335,179;2,85
335,44;2,86
335,702;2,85
335,964;2,85
336,226;2,85
336,488;2,85
336,749;2,85
337,011;2,86
337,273;2,86
337,535;2,86
337,796;2,84
338,058;2,85
338,32;2,85
338,581;2,84
338,843;2,83
339,105;2,84
339,366;2,84
339,628;2,84
339,889;2,84
340,151;2,84
340,412;2,85
340,674;2,84
340,935;2,85
341,197;2,85
341,458;2,85
341,72;2,84
341,981;2,83
342,243;2,83
342,504;2,82
342,766;2,82
343,027;2,81
343,288;2,82
343,55;2,81
343,811;2,81
344,072;2,81
344,334;2,81
344,595;2,79
344,856;2,8
345,117;2,78
345,379;2,79
345,64;2,78
345,901;2,77
346,162;2,77
346,423;2,76
346,684;2,74
346,946;2,75
347,207;2,75
347,468;2,75
347,729;2,75
347,99;2,75
348,251;2,73
348,512;2,72
348,773;2,73
349,034;2,73
349,295;2,72
349,556;2,72
349,817;2,73
350,078;2,72
350,339;2,74
350,6;2,74
350,86;2,74
351,121;2,75
351,382;2,73
351,643;2,72
351,904;2,74
352,165;2,75
352,425;2,75
352,686;2,75
352,947;2,74
353,208;2,75
353,468;2,76
353,729;2,77
353,99;2,76
354,25;2,75
354,511;2,74
354,772;2,74
355,032;2,74
355,293;2,72
355,553;2,72
355,814;2,69
356,074;2,7
356,335;2,68
356,596;2,67
356,856;2,68
357,116;2,69
357,377;2,68
357,637;2,67
357,898;2,67
358,158;2,67
358,419;2,66
358,679;2,66
358,939;2,67
359,2;2,67
359,46;2,69
359,72;2,68
359,981;2,7
360,241;2,68
360,501;2,67
360,761;2,67
361,022;2,67
361,282;2,68
361,542;2,67
361,802;2,66
362,062;2,65
362,323;2,64
362,583;2,64
362,843;2,63
363,103;2,63
363,363;2,62
363,623;2,61
363,883;2,61
364,143;2,62
364,403;2,6
364,663;2,59
364,923;2,57
365,183;2,58
365,443;2,58
365,703;2,6
365,963;2,61
366,223;2,61
366,483;2,61
366,743;2,62
367,002;2,63
367,262;2,64
367,522;2,66
367,782;2,65
