Data from CoccinigliaWhite_Reflection__0__46.txt Node;
"Date: Fri Sep 12 11:36:39 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
286,72;6,47
286,985;6,46
287,249;6,46
287,514;6,45
287,779;6,46
288,044;6,45
288,309;6,44
288,573;6,44
288,838;6,44
289,103;6,43
289,367;6,43
289,632;6,42
289,897;6,42
290,161;6,41
290,426;6,41
290,691;6,42
290,955;6,42
291,22;6,42
291,484;6,41
291,749;6,41
292,014;6,39
292,278;6,39
292,543;6,39
292,807;6,38
293,072;6,39
293,336;6,38
293,6;6,37
293,865;6,37
294,129;6,37
294,394;6,37
294,658;6,37
294,922;6,37
295,187;6,36
295,451;6,36
295,715;6,37
295,98;6,36
296,244;6,36
296,508;6,35
296,773;6,34
297,037;6,33
297,301;6,33
297,565;6,33
297,829;6,32
298,094;6,31
298,358;6,3
298,622;6,29
298,886;6,29
299,15;6,29
299,414;6,28
299,678;6,28
299,942;6,26
300,206;6,25
300,47;6,25
300,734;6,24
300,998;6,24
301,262;6,23
301,526;6,22
301,79;6,21
302,054;6,2
302,318;6,2
302,582;6,19
302,846;6,18
303,11;6,17
303,374;6,17
303,637;6,15
303,901;6,16
304,165;6,14
304,429;6,13
304,693;6,13
304,956;6,13
305,22;6,1
305,484;6,1
305,747;6,09
306,011;6,08
306,275;6,07
306,538;6,07
306,802;6,06
307,066;6,04
307,329;6,03
307,593;6,03
307,856;6,03
308,12;6,03
308,384;6,03
308,647;6,01
308,911;5,99
309,174;6
309,438;5,98
309,701;5,98
309,964;5,96
310,228;5,95
310,491;5,92
310,755;5,93
311,018;5,94
311,281;5,94
311,545;5,93
311,808;5,93
312,071;5,91
312,335;5,9
312,598;5,89
312,861;5,88
313,124;5,87
313,388;5,87
313,651;5,87
313,914;5,86
314,177;5,85
314,44;5,85
314,704;5,84
314,967;5,84
315,23;5,83
315,493;5,83
315,756;5,83
316,019;5,84
316,282;5,82
316,545;5,8
316,808;5,79
317,071;5,79
317,334;5,78
317,597;5,79
317,86;5,77
318,123;5,76
318,386;5,75
318,649;5,74
318,912;5,72
319,175;5,7
319,437;5,7
319,7;5,71
319,963;5,7
320,226;5,68
320,489;5,67
320,751;5,66
321,014;5,64
321,277;5,63
321,54;5,63
321,802;5,63
322,065;5,62
322,328;5,62
322,59;5,6
322,853;5,6
323,116;5,6
323,378;5,6
323,641;5,6
323,903;5,61
324,166;5,61
324,428;5,61
324,691;5,6
324,953;5,57
325,216;5,56
325,478;5,56
325,741;5,55
326,003;5,55
326,266;5,54
326,528;5,54
326,791;5,53
327,053;5,52
327,315;5,5
327,578;5,48
327,84;5,48
328,102;5,48
328,365;5,47
