Pixel;Wavelength;Wavenumber;Raman Shift;Dark;Reference;Raw data #1;Dark Subtracted #1;%TR #1;Absorbance #1;Irradiance (W/cm^2/nm) #1;
92;796,9;12548,64;193,71;3566,9;65535;16551,2;12984,3;0;0;0;
93;797,05;12546,26;196,08;3631,4;65535;16605,4;12974;0;0;0;
94;797,2;12543,89;198,45;3702,8;65535;16769,2;13066,4;0;0;0;
95;797,35;12541,52;200,82;3606,1;65535;16549,7;12943,6;0;0;0;
96;797,5;12539,15;203,19;3559,5;65535;16438,3;12878,8;0;0;0;
97;797,65;12536,78;205,56;3859,8;65535;16922,5;13062,7;0;0;0;
98;797,8;12534,41;207,93;3752,2;65535;17058,3;13306,1;0;0;0;
99;797,95;12532,05;210,3;3628,6;65535;17289,4;13660,8;0;0;0;
100;798,1;12529,68;212,66;3649,8;65535;17855,7;14205,9;0;0;0;
101;798,26;12527,32;215,03;3725,5;65535;18733,2;15007,7;0;0;0;
102;798,41;12524,95;217,39;3532,3;65535;19589,5;16057,2;0;0;0;
103;798,56;12522,59;219,75;4715;65535;22177,1;17462,1;0;0;0;
104;798,71;12520,23;222,12;3567,8;65535;22786,1;19218,3;0;0;0;
105;798,86;12517,87;224,48;3516,6;65535;24997,5;21480,9;0;0;0;
106;799,01;12515,51;226,84;3877,6;65535;28198,9;24321,3;0;0;0;
107;799,16;12513,15;229,2;3619,9;65535;31595;27975,1;0;0;0;
108;799,31;12510,79;231,55;3573,6;65535;37335,7;33762,1;0;0;0;
109;799,46;12508,43;233,91;3645,5;65535;43690,6;40045,1;0;0;0;
110;799,61;12506,08;236,27;3620,8;65535;54207,8;50587;0;0;0;
111;799,76;12503,72;238,62;3569,7;65535;65535;61965,3;0;0;0;
112;799,91;12501,37;240,98;3607;65535;65535;61928;0;0;0;
113;800,06;12499,01;243,33;3638,7;65535;65535;61896,3;0;0;0;
114;800,21;12496,66;245,68;3692,8;65535;65535;61842,2;0;0;0;
115;800,36;12494,31;248,03;3522,6;65535;65535;62012,4;0;0;0;
116;800,51;12491,96;250,38;3638,6;65535;65535;61896,4;0;0;0;
117;800,67;12489,61;252,73;3536;65535;65535;61999;0;0;0;
118;800,82;12487,26;255,08;3594,3;65535;65535;61940,7;0;0;0;
119;800,97;12484,92;257,43;3677,3;65535;65535;61857,7;0;0;0;
120;801,12;12482,57;259,77;3652,2;65535;51794,3;48142,1;0;0;0;
121;801,27;12480,23;262,12;3520,6;65535;40756,5;37235,9;0;0;0;
122;801,42;12477,88;264,46;3677,8;65535;35184,3;31506,5;0;0;0;
123;801,57;12475,54;266,8;3638,9;65535;32496,3;28857,4;0;0;0;
124;801,72;12473,2;269,14;3702,2;65535;31603,5;27901,3;0;0;0;
125;801,87;12470,86;271,48;3680,4;65535;32343,4;28663;0;0;0;
126;802,02;12468,52;273,82;3520,1;65535;34390,2;30870,1;0;0;0;
127;802,17;12466,18;276,16;3683,6;65535;37246,3;33562,7;0;0;0;
128;802,32;12463,84;278,5;3597,6;65535;38851,1;35253,5;0;0;0;
129;802,47;12461,51;280,84;3686,3;65535;38536,3;34850;0;0;0;
130;802,62;12459,17;283,17;4346,8;65535;37615,7;33268,9;0;0;0;
131;802,77;12456,84;285,51;3663,6;65535;34691,3;31027,7;0;0;0;
132;802,92;12454,5;287,84;3919,3;65535;31633,2;27713,9;0;0;0;
133;803,07;12452,17;290,17;3622,7;65535;27530,8;23908,1;0;0;0;
134;803,22;12449,84;292,51;4120,7;65535;25394,8;21274,1;0;0;0;
135;803,37;12447,51;294,84;3612,5;65535;23550,9;19938,4;0;0;0;
136;803,52;12445,18;297,17;3665,4;65535;23028,8;19363,4;0;0;0;
137;803,67;12442,85;299,5;3619,4;65535;22659,8;19040,4;0;0;0;
138;803,82;12440,52;301,82;3634;65535;22443,7;18809,7;0;0;0;
139;803,98;12438,19;304,15;3914,9;65535;22764;18849,1;0;0;0;
140;804,13;12435,87;306,48;3719,7;65535;22420;18700,3;0;0;0;
141;804,28;12433,54;308,8;3590,2;65535;21923,9;18333,7;0;0;0;
142;804,43;12431,22;311,12;3559;65535;20613,5;17054,5;0;0;0;
143;804,58;12428,9;313,45;3551,5;65535;19354,2;15802,7;0;0;0;
144;804,73;12426,58;315,77;3726,1;65535;18825,5;15099,4;0;0;0;
145;804,88;12424,25;318,09;3633,2;65535;18685,3;15052,1;0;0;0;
146;805,03;12421,93;320,41;3661,1;65535;19138,1;15477;0;0;0;
147;805,18;12419,62;322,73;3702,9;65535;20045;16342,1;0;0;0;
148;805,33;12417,3;325,05;3776,1;65535;21626,1;17850;0;0;0;
