Pixel;Wavelength;Wavenumber;Raman Shift;Dark;Reference;Raw data #1;Dark Subtracted #1;%TR #1;Absorbance #1;Irradiance (W/cm^2/nm) #1;
92;796,9;12548,64;193,71;3578,6;65535;4852,2;1273,6;0;0;0;
93;797,05;12546,26;196,08;3622,6;65535;4907,9;1285,3;0;0;0;
94;797,2;12543,89;198,45;3713,7;65535;5020,2;1306,5;0;0;0;
95;797,35;12541,52;200,82;3592,4;65535;4926,1;1333,7;0;0;0;
96;797,5;12539,15;203,19;3547,8;65535;4927,6;1379,8;0;0;0;
97;797,65;12536,78;205,56;3860,5;65535;5282,2;1421,7;0;0;0;
98;797,8;12534,41;207,93;3763,8;65535;5276,2;1512,4;0;0;0;
99;797,95;12532,05;210,3;3634,2;65535;5276,3;1642,1;0;0;0;
100;798,1;12529,68;212,66;3644,9;65535;5443,2;1798,3;0;0;0;
101;798,26;12527,32;215,03;3729,3;65535;5748,3;2019;0;0;0;
102;798,41;12524,95;217,39;3521,7;65535;5749,8;2228,1;0;0;0;
103;798,56;12522,59;219,75;4718,7;65535;7081,9;2363,2;0;0;0;
104;798,71;12520,23;222,12;3570,5;65535;5927;2356,5;0;0;0;
105;798,86;12517,87;224,48;3514,2;65535;5801,8;2287,6;0;0;0;
106;799,01;12515,51;226,84;3867,3;65535;6106,5;2239,2;0;0;0;
107;799,16;12513,15;229,2;3611,4;65535;5785,2;2173,8;0;0;0;
108;799,31;12510,79;231,55;3574,9;65535;5662,5;2087,6;0;0;0;
109;799,46;12508,43;233,91;3653;65535;5626,8;1973,8;0;0;0;
110;799,61;12506,08;236,27;3619,7;65535;5458,6;1838,9;0;0;0;
111;799,76;12503,72;238,62;3551,3;65535;5323,1;1771,8;0;0;0;
112;799,91;12501,37;240,98;3613,3;65535;5255,5;1642,2;0;0;0;
113;800,06;12499,01;243,33;3648,9;65535;5232,5;1583,6;0;0;0;
114;800,21;12496,66;245,68;3703,9;65535;5236,7;1532,8;0;0;0;
115;800,36;12494,31;248,03;3515,7;65535;5043,8;1528,1;0;0;0;
116;800,51;12491,96;250,38;3643,5;65535;5134,1;1490,6;0;0;0;
117;800,67;12489,61;252,73;3551,2;65535;5016,2;1465;0;0;0;
118;800,82;12487,26;255,08;3590,9;65535;5032,7;1441,8;0;0;0;
119;800,97;12484,92;257,43;3666,1;65535;5127,5;1461,4;0;0;0;
120;801,12;12482,57;259,77;3648,5;65535;5103,3;1454,8;0;0;0;
121;801,27;12480,23;262,12;3517,6;65535;4990,1;1472,5;0;0;0;
122;801,42;12477,88;264,46;3667,8;65535;5193,3;1525,5;0;0;0;
123;801,57;12475,54;266,8;3649,5;65535;5209,5;1560;0;0;0;
