User:;sycur
Spectrometer:;SR400348
"Trigger Integration";"mode: Time"
292,014;3,39
292,278;3,4
292,543;3,38
292,807;3,4
293,072;3,41
293,336;3,43
293,6;3,4
293,865;3,38
294,129;3,38
294,394;3,37
294,658;3,36
294,922;3,38
295,187;3,38
295,451;3,36
295,715;3,36
295,98;3,36
296,244;3,36
296,508;3,37
296,773;3,39
297,037;3,42
297,301;3,46
297,565;3,48
297,829;3,46
298,094;3,47
298,358;3,46
298,622;3,47
298,886;3,47
299,15;3,5
299,414;3,53
299,678;3,53
299,942;3,51
300,206;3,5
300,47;3,51
300,734;3,51
300,998;3,51
301,262;3,5
301,526;3,49
301,79;3,46
302,054;3,49
302,318;3,48
302,582;3,49
302,846;3,45
303,11;3,46
303,374;3,46
303,637;3,46
303,901;3,46
304,165;3,45
304,429;3,46
304,693;3,46
304,956;3,46
305,22;3,47
305,484;3,47
305,747;3,5
306,011;3,5
306,275;3,48
306,538;3,5
306,802;3,51
307,066;3,52
307,329;3,54
307,593;3,51
307,856;3,51
308,12;3,47
308,384;3,52
308,647;3,54
308,911;3,56
309,174;3,56
309,438;3,57
309,701;3,56
309,964;3,56
310,228;3,55
310,491;3,53
310,755;3,55
311,018;3,57
311,281;3,57
311,545;3,57
311,808;3,59
312,071;3,6
312,335;3,58
312,598;3,59
312,861;3,61
313,124;3,64
313,388;3,65
313,651;3,67
313,914;3,65
314,177;3,63
314,44;3,61
314,704;3,6
314,967;3,61
315,23;3,63
315,493;3,61
315,756;3,61
316,019;3,63
316,282;3,64
316,545;3,61
316,808;3,59
317,071;3,59
317,334;3,6
317,597;3,61
317,86;3,63
318,123;3,66
318,386;3,61
318,649;3,6
318,912;3,6
319,175;3,59
319,437;3,58
319,7;3,61
319,963;3,65
320,226;3,66
320,489;3,66
320,751;3,66
321,014;3,67
321,277;3,67
321,54;3,64
321,802;3,61
322,065;3,63
322,328;3,64
322,59;3,62
322,853;3,6
323,116;3,59
323,378;3,57
323,641;3,54
323,903;3,58
324,166;3,59
324,428;3,58
324,691;3,59
324,953;3,59
325,216;3,58
325,478;3,55
325,741;3,52
326,003;3,52
326,266;3,53
326,528;3,51
326,791;3,5
327,053;3,53
327,315;3,53
327,578;3,56
327,84;3,54
328,102;3,54
328,365;3,57
328,627;3,53
328,889;3,56
329,151;3,55
329,414;3,56
329,676;3,54
329,938;3,57
330,2;3,58
330,462;3,56
330,725;3,55
330,987;3,55
331,249;3,55
331,511;3,51
331,773;3,52
332,035;3,56
332,297;3,58
332,559;3,55
332,821;3,53
333,083;3,49
333,345;3,52
333,607;3,55
333,869;3,56
334,131;3,56
334,393;3,57
334,655;3,54
334,917;3,49
335,179;3,47
335,44;3,48
335,702;3,47
335,964;3,47
336,226;3,48
336,488;3,46
336,749;3,46
337,011;3,51
337,273;3,49
337,535;3,46
337,796;3,44
338,058;3,44
338,32;3,44
338,581;3,42
338,843;3,39
339,105;3,4
339,366;3,37
339,628;3,39
339,889;3,37
340,151;3,38
340,412;3,39
340,674;3,4
340,935;3,38
341,197;3,37
341,458;3,4
341,72;3,38
341,981;3,39
342,243;3,39
342,504;3,38
342,766;3,39
343,027;3,37
343,288;3,43
343,55;3,44
343,811;3,46
344,072;3,42
344,334;3,45
344,595;3,4
344,856;3,41
345,117;3,42
345,379;3,45
345,64;3,51
345,901;3,53
