User:;sycur
Spectrometer:;SR400348
"Trigger Integration";"mode: Time"
291,749;3,28
292,014;3,25
292,278;3,26
292,543;3,27
292,807;3,3
293,072;3,31
293,336;3,3
293,6;3,29
293,865;3,28
294,129;3,28
294,394;3,25
294,658;3,23
294,922;3,21
295,187;3,21
295,451;3,17
295,715;3,18
295,98;3,18
296,244;3,18
296,508;3,16
296,773;3,18
297,037;3,19
297,301;3,2
297,565;3,22
297,829;3,21
298,094;3,18
298,358;3,16
298,622;3,16
298,886;3,17
299,15;3,2
299,414;3,24
299,678;3,25
299,942;3,25
300,206;3,27
300,47;3,28
300,734;3,28
300,998;3,31
301,262;3,31
301,526;3,29
301,79;3,31
302,054;3,35
302,318;3,34
302,582;3,38
302,846;3,38
303,11;3,41
303,374;3,4
303,637;3,41
303,901;3,41
304,165;3,42
304,429;3,44
304,693;3,42
304,956;3,39
305,22;3,41
305,484;3,42
305,747;3,42
306,011;3,43
306,275;3,4
306,538;3,42
306,802;3,43
307,066;3,45
307,329;3,42
307,593;3,42
307,856;3,4
308,12;3,36
308,384;3,4
308,647;3,41
308,911;3,43
309,174;3,45
309,438;3,41
309,701;3,39
309,964;3,35
310,228;3,34
310,491;3,33
310,755;3,35
311,018;3,35
311,281;3,36
311,545;3,34
311,808;3,38
312,071;3,36
312,335;3,33
312,598;3,31
312,861;3,34
313,124;3,32
313,388;3,38
313,651;3,35
313,914;3,3
314,177;3,25
314,44;3,21
314,704;3,19
314,967;3,21
315,23;3,24
315,493;3,26
315,756;3,26
316,019;3,28
316,282;3,27
316,545;3,27
316,808;3,28
317,071;3,31
317,334;3,28
317,597;3,28
317,86;3,3
318,123;3,35
318,386;3,34
318,649;3,36
318,912;3,34
319,175;3,38
319,437;3,41
319,7;3,45
319,963;3,51
320,226;3,52
320,489;3,52
320,751;3,52
321,014;3,52
321,277;3,5
321,54;3,48
321,802;3,47
322,065;3,47
322,328;3,44
322,59;3,44
322,853;3,47
323,116;3,47
323,378;3,47
323,641;3,42
323,903;3,44
324,166;3,42
324,428;3,4
324,691;3,39
324,953;3,36
325,216;3,37
325,478;3,35
325,741;3,33
326,003;3,33
326,266;3,29
326,528;3,25
326,791;3,26
327,053;3,29
327,315;3,27
327,578;3,28
327,84;3,29
328,102;3,23
328,365;3,22
328,627;3,17
328,889;3,17
329,151;3,18
329,414;3,19
329,676;3,2
329,938;3,19
330,2;3,14
330,462;3,17
330,725;3,14
330,987;3,15
331,249;3,15
331,511;3,16
331,773;3,15
332,035;3,21
332,297;3,22
332,559;3,19
332,821;3,17
333,083;3,16
333,345;3,13
333,607;3,19
333,869;3,19
334,131;3,23
334,393;3,25
334,655;3,23
334,917;3,2
335,179;3,18
335,44;3,22
335,702;3,22
335,964;3,2
336,226;3,19
336,488;3,17
336,749;3,16
337,011;3,11
337,273;3,12
337,535;3,08
337,796;3,04
338,058;3,06
338,32;3,05
338,581;3,06
338,843;3,06
339,105;3,06
339,366;3,06
339,628;3,1
339,889;3,06
340,151;3,09
340,412;3,1
340,674;3,11
340,935;3,08
341,197;3,11
341,458;3,12
341,72;3,11
341,981;3,12
342,243;3,12
342,504;3,18
342,766;3,18
343,027;3,2
343,288;3,23
343,55;3,24
343,811;3,24
344,072;3,2
344,334;3,19
344,595;3,18
344,856;3,19
345,117;3,16
345,379;3,15
345,64;3,17
345,901;3,18
346,162;3,19
346,423;3,21
346,684;3,18
346,946;3,21
347,207;3,21
347,468;3,23
347,729;3,24
347,99;3,25
348,251;3,25
348,512;3,25
348,773;3,24
349,034;3,22
349,295;3,23
349,556;3,3
349,817;3,34
350,078;3,35
350,339;3,3
350,6;3,34
350,86;3,38
351,121;3,33
351,382;3,33
351,643;3,29
351,904;3,25
352,165;3,24
352,425;3,25
352,686;3,27
352,947;3,28
353,208;3,28
353,468;3,25
353,729;3,26
353,99;3,24
354,25;3,27
354,511;3,25
354,772;3,23
355,032;3,25
355,293;3,19
355,553;3,21
355,814;3,24
356,074;3,21
356,335;3,21
356,596;3,24
356,856;3,22
357,116;3,23
357,377;3,28
357,637;3,29
357,898;3,26
358,158;3,27
358,419;3,25
358,679;3,25
358,939;3,26
359,2;3,28
359,46;3,35
359,72;3,31
359,981;3,36
360,241;3,35
360,501;3,31
360,761;3,3
361,022;3,26
361,282;3,23
361,542;3,23
361,802;3,21
362,062;3,2
362,323;3,18
362,583;3,2
362,843;3,14
363,103;3,19
363,363;3,18
363,623;3,17
363,883;3,17
364,143;3,21
364,403;3,2
364,663;3,21
364,923;3,18
365,183;3,21
365,443;3,25
365,703;3,27
365,963;3,32
366,223;3,4
366,483;3,42
366,743;3,43
367,002;3,46
367,262;3,44
367,522;3,41
367,782;3,46
368,042;3,48
368,301;3,51
368,561;3,5
368,821;3,52
369,081;3,53
369,34;3,52
369,6;3,48
369,86;3,47
370,119;3,45
370,379;3,46
370,638;3,49
370,898;3,48
371,158;3,49
371,417;3,47
371,677;3,4
371,936;3,41
372,196;3,42
372,455;3,43
372,715;3,44
372,974;3,5
373,234;3,42
373,493;3,43
373,753;3,49
374,012;3,47
374,271;3,48
374,531;3,43
374,79;3,44
375,049;3,49
375,309;3,52
375,568;3,53
375,827;3,51
376,086;3,46
376,346;3,45
376,605;3,42
376,864;3,43
377,123;3,43
377,383;3,42
377,642;3,46
377,901;3,44
378,16;3,46
378,419;3,44
378,678;3,48
378,937;3,43
379,196;3,35
379,455;3,4
379,714;3,39
379,973;3,45
380,232;3,44
380,491;3,39
380,75;3,35
381,009;3,34
381,268;3,35
381,527;3,38
381,786;3,37
382,045;3,35
382,304;3,36
382,563;3,4
382,821;3,46
383,08;3,45
383,339;3,46
383,598;3,5
383,857;3,51
384,115;3,49
384,374;3,54
384,633;3,63
