User:;sycur
Spectrometer:;SR400348
"Trigger Integration";"mode: Time"
292,014;20,04
292,278;20
292,543;20,01
292,807;20,03
293,072;20,02
293,336;19,99
293,6;19,97
293,865;19,96
294,129;19,99
294,394;19,96
294,658;19,95
294,922;19,94
295,187;19,93
295,451;19,97
295,715;19,93
295,98;19,93
296,244;19,96
296,508;19,96
296,773;19,97
297,037;19,93
297,301;19,96
297,565;19,99
297,829;19,93
298,094;19,92
298,358;19,88
298,622;19,87
298,886;19,89
299,15;19,88
299,414;19,88
299,678;19,88
299,942;19,84
300,206;19,81
300,47;19,77
300,734;19,75
300,998;19,73
301,262;19,71
301,526;19,66
301,79;19,61
302,054;19,61
302,318;19,57
302,582;19,58
302,846;19,54
303,11;19,51
303,374;19,54
303,637;19,52
303,901;19,5
304,165;19,48
304,429;19,45
304,693;19,41
304,956;19,4
305,22;19,36
305,484;19,4
305,747;19,38
306,011;19,4
306,275;19,35
306,538;19,34
306,802;19,38
307,066;19,4
307,329;19,37
307,593;19,33
307,856;19,31
308,12;19,24
308,384;19,26
308,647;19,22
308,911;19,2
309,174;19,23
309,438;19,21
309,701;19,2
309,964;19,17
310,228;19,14
310,491;19,09
310,755;19,08
311,018;19,02
311,281;18,99
311,545;18,95
311,808;18,96
312,071;18,93
312,335;18,88
312,598;18,82
312,861;18,83
313,124;18,81
313,388;18,87
313,651;18,88
313,914;18,83
314,177;18,79
314,44;18,75
314,704;18,69
314,967;18,68
315,23;18,68
315,493;18,67
315,756;18,63
316,019;18,6
316,282;18,6
316,545;18,58
316,808;18,58
317,071;18,57
317,334;18,55
317,597;18,52
317,86;18,49
318,123;18,51
318,386;18,47
318,649;18,45
318,912;18,39
319,175;18,37
319,437;18,34
319,7;18,36
319,963;18,35
320,226;18,37
320,489;18,36
320,751;18,32
321,014;18,29
321,277;18,33
321,54;18,31
321,802;18,28
322,065;18,27
322,328;18,23
322,59;18,18
322,853;18,16
323,116;18,14
323,378;18,13
323,641;18,08
323,903;18,08
324,166;18,09
324,428;18,03
324,691;18,02
324,953;18,01
325,216;18,02
325,478;18
325,741;17,93
326,003;17,88
326,266;17,85
326,528;17,8
326,791;17,75
327,053;17,78
327,315;17,76
327,578;17,77
327,84;17,76
328,102;17,73
328,365;17,73
328,627;17,72
328,889;17,71
329,151;17,69
329,414;17,68
329,676;17,65
329,938;17,64
330,2;17,58
330,462;17,57
330,725;17,52
330,987;17,51
331,249;17,51
331,511;17,49
331,773;17,51
332,035;17,53
332,297;17,52
332,559;17,48
332,821;17,43
333,083;17,36
333,345;17,35
333,607;17,38
333,869;17,36
334,131;17,32
334,393;17,33
334,655;17,29
334,917;17,27
335,179;17,22
335,44;17,19
335,702;17,19
335,964;17,15
336,226;17,14
336,488;17,13
336,749;17,15
337,011;17,14
337,273;17,11
337,535;17,12
337,796;17,09
338,058;17,11
338,32;17,11
338,581;17,13
338,843;17,11
339,105;17,09
339,366;17,07
339,628;17,07
339,889;17,04
340,151;17,05
340,412;17,01
340,674;17,02
340,935;17,03
341,197;17,04
341,458;17,02
341,72;17,01
341,981;16,99
342,243;16,94
342,504;16,97
342,766;16,94
343,027;16,92
343,288;16,91
343,55;16,89
343,811;16,87
344,072;16,79
344,334;16,78
344,595;16,73
344,856;16,74
345,117;16,73
345,379;16,71
345,64;16,72
345,901;16,7
346,162;16,7
346,423;16,67
346,684;16,62
346,946;16,62
347,207;16,58
347,468;16,6
347,729;16,57
347,99;16,51
348,251;16,49
348,512;16,46
348,773;16,45
349,034;16,42
349,295;16,44
349,556;16,48
349,817;16,48
350,078;16,47
350,339;16,43
350,6;16,42
350,86;16,43
351,121;16,38
351,382;16,37
351,643;16,34
351,904;16,28
352,165;16,25
352,425;16,23
352,686;16,21
352,947;16,15
353,208;16,16
353,468;16,19
353,729;16,17
353,99;16,17
354,25;16,17
354,511;16,12
354,772;16,09
355,032;16,09
355,293;16,06
355,553;16,1
355,814;16,08
356,074;16,03
356,335;15,99
356,596;15,98
356,856;16,04
357,116;16,03
357,377;16,11
357,637;16,1
