Data from verderameWhite_Reflection__0__22.txt Node;
"Date: Thu Sep 11 16:20:41 CEST 2025 User: sycur";
291,22;3,32
291,484;3,33
291,749;3,33
292,014;3,34
292,278;3,36
292,543;3,36
292,807;3,38
293,072;3,38
293,336;3,38
293,6;3,38
293,865;3,39
294,129;3,39
294,394;3,41
294,658;3,43
294,922;3,43
295,187;3,45
295,451;3,46
295,715;3,47
295,98;3,48
296,244;3,49
296,508;3,51
296,773;3,52
297,037;3,53
297,301;3,53
297,565;3,55
297,829;3,55
298,094;3,56
298,358;3,56
298,622;3,57
298,886;3,58
299,15;3,59
299,414;3,61
299,678;3,63
299,942;3,63
300,206;3,64
300,47;3,65
300,734;3,67
300,998;3,67
301,262;3,69
301,526;3,7
301,79;3,71
302,054;3,72
302,318;3,73
302,582;3,74
302,846;3,76
303,11;3,78
303,374;3,8
303,637;3,8
303,901;3,82
304,165;3,84
304,429;3,86
304,693;3,86
304,956;3,88
305,22;3,88
305,484;3,9
305,747;3,92
306,011;3,93
306,275;3,94
306,538;3,96
306,802;3,97
307,066;3,99
307,329;4
307,593;4,03
307,856;4,05
308,12;4,05
308,384;4,07
308,647;4,08
308,911;4,09
309,174;4,11
309,438;4,13
309,701;4,15
309,964;4,17
310,228;4,2
310,491;4,22
310,755;4,24
311,018;4,26
311,281;4,27
311,545;4,3
311,808;4,32
312,071;4,35
312,335;4,37
312,598;4,39
312,861;4,41
313,124;4,42
313,388;4,44
313,651;4,47
313,914;4,48
314,177;4,51
314,44;4,53
314,704;4,56
314,967;4,58
315,23;4,6
315,493;4,62
315,756;4,64
316,019;4,66
316,282;4,69
316,545;4,71
316,808;4,75
317,071;4,78
317,334;4,81
317,597;4,83
317,86;4,86
318,123;4,88
318,386;4,92
318,649;4,94
318,912;4,97
319,175;5,01
319,437;5,03
319,7;5,06
319,963;5,09
320,226;5,12
320,489;5,14
320,751;5,17
321,014;5,19
321,277;5,23
321,54;5,26
321,802;5,29
322,065;5,31
322,328;5,33
322,59;5,36
322,853;5,38
323,116;5,41
323,378;5,43
323,641;5,46
323,903;5,48
324,166;5,51
324,428;5,55
324,691;5,58
324,953;5,63
325,216;5,66
325,478;5,7
325,741;5,72
326,003;5,77
326,266;5,8
326,528;5,85
