Data from verderameWhite_Reflection__1__23.txt Node;
"Date: Thu Sep 11 16:21:53 CEST 2025 User: sycur";
290,955;3,32
291,22;3,32
291,484;3,32
291,749;3,31
292,014;3,31
292,278;3,32
292,543;3,32
292,807;3,32
293,072;3,32
293,336;3,31
293,6;3,3
293,865;3,3
294,129;3,3
294,394;3,3
294,658;3,3
294,922;3,3
295,187;3,29
295,451;3,29
295,715;3,28
295,98;3,28
296,244;3,28
296,508;3,28
296,773;3,28
297,037;3,28
297,301;3,27
297,565;3,27
297,829;3,26
298,094;3,26
298,358;3,24
298,622;3,24
298,886;3,23
299,15;3,24
299,414;3,23
299,678;3,24
299,942;3,23
300,206;3,22
300,47;3,22
300,734;3,22
300,998;3,21
301,262;3,21
301,526;3,2
301,79;3,2
302,054;3,2
302,318;3,19
302,582;3,18
302,846;3,18
303,11;3,18
303,374;3,19
303,637;3,18
303,901;3,19
304,165;3,19
304,429;3,18
304,693;3,17
304,956;3,16
305,22;3,15
305,484;3,15
305,747;3,15
306,011;3,13
306,275;3,13
306,538;3,12
306,802;3,12
307,066;3,11
307,329;3,1
307,593;3,1
307,856;3,11
308,12;3,1
308,384;3,09
308,647;3,08
308,911;3,08
309,174;3,07
309,438;3,08
309,701;3,07
309,964;3,07
310,228;3,06
310,491;3,06
310,755;3,06
311,018;3,06
311,281;3,05
311,545;3,07
311,808;3,06
312,071;3,05
312,335;3,04
312,598;3,04
312,861;3,04
313,124;3,03
313,388;3,03
313,651;3,03
313,914;3,02
314,177;3,03
314,44;3,03
314,704;3,02
314,967;3,01
315,23;3
315,493;3,01
315,756;3,01
316,019;3
316,282;2,99
316,545;3
316,808;3
317,071;2,99
317,334;3
317,597;3
317,86;3,01
318,123;3,01
318,386;3,01
318,649;3
318,912;2,98
319,175;2,97
319,437;2,98
319,7;2,97
319,963;2,96
320,226;2,95
320,489;2,95
320,751;2,94
321,014;2,93
321,277;2,93
321,54;2,93
321,802;2,93
322,065;2,91
322,328;2,91
322,59;2,91
322,853;2,88
323,116;2,88
323,378;2,87
323,641;2,86
323,903;2,86
324,166;2,87
324,428;2,87
324,691;2,87
324,953;2,87
325,216;2,86
325,478;2,86
325,741;2,85
326,003;2,86
326,266;2,85
326,528;2,85
326,791;2,85
327,053;2,83
327,315;2,83
327,578;2,83
327,84;2,83
328,102;2,81
328,365;2,82
328,627;2,83
328,889;2,82
329,151;2,83
329,414;2,83
329,676;2,82
329,938;2,82
330,2;2,82
330,462;2,81
330,725;2,81
330,987;2,81
331,249;2,81
331,511;2,8
331,773;2,81
332,035;2,8
332,297;2,81
332,559;2,82
332,821;2,82
333,083;2,81
333,345;2,81
333,607;2,81
333,869;2,81
334,131;2,8
334,393;2,79
334,655;2,78
334,917;2,77
335,179;2,77
335,44;2,75
335,702;2,76
335,964;2,77
336,226;2,76
336,488;2,75
336,749;2,76
337,011;2,77
337,273;2,76
337,535;2,77
337,796;2,76
338,058;2,76
338,32;2,75
338,581;2,74
338,843;2,74
339,105;2,74
339,366;2,74
339,628;2,75
339,889;2,76
340,151;2,76
340,412;2,76
340,674;2,76
340,935;2,76
341,197;2,76
341,458;2,74
341,72;2,75
341,981;2,76
342,243;2,75
342,504;2,75
342,766;2,77
343,027;2,76
343,288;2,76
343,55;2,75
343,811;2,75
344,072;2,76
344,334;2,77
344,595;2,77
344,856;2,77
345,117;2,76
345,379;2,75
345,64;2,77
345,901;2,77
346,162;2,76
346,423;2,75
346,684;2,75
