Data from verderameWhite_Reflection__3__25.txt Node;
"Date: Thu Sep 11 16:26:49 CEST 2025 User: sycur";
292,278;2,95
292,543;2,95
292,807;2,96
293,072;2,95
293,336;2,95
293,6;2,95
293,865;2,94
294,129;2,94
294,394;2,94
294,658;2,95
294,922;2,95
295,187;2,94
295,451;2,94
295,715;2,95
295,98;2,95
296,244;2,94
296,508;2,94
296,773;2,94
297,037;2,93
297,301;2,94
297,565;2,93
297,829;2,92
298,094;2,93
298,358;2,93
298,622;2,93
298,886;2,92
299,15;2,92
299,414;2,92
299,678;2,92
299,942;2,91
300,206;2,9
300,47;2,9
300,734;2,9
300,998;2,9
301,262;2,9
301,526;2,9
301,79;2,91
302,054;2,9
302,318;2,9
302,582;2,9
302,846;2,89
303,11;2,89
303,374;2,9
303,637;2,9
303,901;2,9
304,165;2,91
304,429;2,91
304,693;2,91
304,956;2,91
305,22;2,91
305,484;2,91
305,747;2,92
306,011;2,92
306,275;2,92
306,538;2,92
306,802;2,91
307,066;2,91
307,329;2,91
307,593;2,92
307,856;2,93
308,12;2,93
308,384;2,94
308,647;2,93
308,911;2,93
309,174;2,93
309,438;2,92
309,701;2,92
309,964;2,92
310,228;2,93
310,491;2,93
310,755;2,94
311,018;2,94
311,281;2,95
311,545;2,96
311,808;2,95
312,071;2,95
312,335;2,96
312,598;2,96
312,861;2,95
313,124;2,94
313,388;2,94
313,651;2,94
313,914;2,94
314,177;2,94
314,44;2,95
314,704;2,95
314,967;2,94
315,23;2,94
315,493;2,95
315,756;2,94
316,019;2,94
316,282;2,94
316,545;2,94
316,808;2,95
317,071;2,95
317,334;2,97
317,597;2,97
317,86;2,97
318,123;2,98
318,386;2,99
318,649;2,99
318,912;2,99
319,175;2,99
319,437;3
319,7;3,01
319,963;3,01
320,226;3,02
320,489;3,03
320,751;3,04
321,014;3,03
321,277;3,03
321,54;3,03
321,802;3,04
322,065;3,04
322,328;3,04
322,59;3,04
322,853;3,02
323,116;3,03
323,378;3,04
323,641;3,03
323,903;3,03
324,166;3,05
324,428;3,05
324,691;3,06
324,953;3,06
325,216;3,06
325,478;3,05
325,741;3,04
326,003;3,05
326,266;3,05
326,528;3,05
326,791;3,07
327,053;3,06
327,315;3,06
327,578;3,06
327,84;3,06
328,102;3,06
328,365;3,07
328,627;3,07
328,889;3,08
329,151;3,1
329,414;3,11
329,676;3,11
329,938;3,11
330,2;3,11
330,462;3,11
330,725;3,12
330,987;3,15
331,249;3,15
331,511;3,16
331,773;3,16
332,035;3,17
332,297;3,18
332,559;3,2
332,821;3,21
333,083;3,22
333,345;3,24
333,607;3,26
333,869;3,26
334,131;3,27
334,393;3,28
334,655;3,27
334,917;3,28
335,179;3,29
335,44;3,29
335,702;3,31
335,964;3,32
336,226;3,32
336,488;3,31
336,749;3,34
337,011;3,36
337,273;3,36
337,535;3,38
337,796;3,39
338,058;3,39
338,32;3,4
338,581;3,41
338,843;3,41
339,105;3,42
339,366;3,44
339,628;3,46
339,889;3,46
340,151;3,48
340,412;3,49
340,674;3,51
340,935;3,53
341,197;3,54
341,458;3,55
341,72;3,57
341,981;3,59
342,243;3,59
342,504;3,59
342,766;3,62
343,027;3,63
343,288;3,64
343,55;3,66
343,811;3,66
344,072;3,69
344,334;3,71
344,595;3,72
344,856;3,74
345,117;3,73
345,379;3,75
345,64;3,76
345,901;3,78
346,162;3,78
346,423;3,78
346,684;3,79
346,946;3,8
347,207;3,81
347,468;3,83
347,729;3,83
347,99;3,86
348,251;3,86
348,512;3,86
348,773;3,88
349,034;3,87
349,295;3,89
349,556;3,89
349,817;3,9
350,078;3,9
350,339;3,91
350,6;3,93
350,86;3,94
351,121;3,95
351,382;3,96
351,643;3,98
351,904;3,99
352,165;4,01
352,425;4,03
352,686;4,05
352,947;4,07
353,208;4,09
353,468;4,09
353,729;4,11
353,99;4,13
354,25;4,14
354,511;4,17
354,772;4,19
355,032;4,19
355,293;4,22
355,553;4,22
355,814;4,24
356,074;4,25
356,335;4,27
356,596;4,28
356,856;4,3
357,116;4,33
357,377;4,36
357,637;4,38
357,898;4,38
358,158;4,39
358,419;4,41
358,679;4,42
358,939;4,43
359,2;4,44
359,46;4,47
359,72;4,49
359,981;4,5
360,241;4,52
360,501;4,56
360,761;4,57
361,022;4,6
361,282;4,62
361,542;4,64
361,802;4,67
362,062;4,69
362,323;4,72
362,583;4,73
362,843;4,74
363,103;4,76
363,363;4,79
363,623;4,82
363,883;4,83
364,143;4,86
364,403;4,88
364,663;4,92
364,923;4,92
365,183;4,96
365,443;4,98
365,703;5
365,963;5,02
366,223;5,04
366,483;5,06
366,743;5,08
367,002;5,1
367,262;5,13
367,522;5,14
367,782;5,16
368,042;5,16
368,301;5,18
368,561;5,2
368,821;5,22
369,081;5,23
