Data from verderameWhite_Reflection__4__26.txt Node;
"Date: Thu Sep 11 16:28:01 CEST 2025 User: sycur";
291,22;4,28
291,484;4,31
291,749;4,32
292,014;4,33
292,278;4,35
292,543;4,37
292,807;4,39
293,072;4,41
293,336;4,43
293,6;4,45
293,865;4,46
294,129;4,48
294,394;4,5
294,658;4,53
294,922;4,55
295,187;4,56
295,451;4,59
295,715;4,61
295,98;4,63
296,244;4,65
296,508;4,68
296,773;4,7
297,037;4,71
297,301;4,73
297,565;4,76
297,829;4,77
298,094;4,8
298,358;4,82
298,622;4,84
298,886;4,85
299,15;4,87
299,414;4,9
299,678;4,94
299,942;4,96
300,206;4,98
300,47;5
300,734;5,03
300,998;5,05
301,262;5,07
301,526;5,09
301,79;5,11
302,054;5,13
302,318;5,15
302,582;5,18
302,846;5,2
303,11;5,23
303,374;5,25
303,637;5,26
303,901;5,29
304,165;5,31
304,429;5,34
304,693;5,36
304,956;5,37
305,22;5,39
305,484;5,42
305,747;5,44
306,011;5,46
306,275;5,48
306,538;5,5
306,802;5,51
307,066;5,53
307,329;5,55
307,593;5,58
307,856;5,61
308,12;5,62
308,384;5,64
308,647;5,66
308,911;5,69
309,174;5,72
309,438;5,74
309,701;5,77
309,964;5,79
310,228;5,82
310,491;5,84
310,755;5,87
311,018;5,9
311,281;5,91
311,545;5,93
311,808;5,97
312,071;5,99
312,335;6,02
312,598;6,04
312,861;6,07
313,124;6,09
313,388;6,12
313,651;6,16
313,914;6,18
314,177;6,21
314,44;6,23
314,704;6,27
314,967;6,3
315,23;6,31
315,493;6,34
315,756;6,36
316,019;6,4
316,282;6,44
316,545;6,47
316,808;6,52
317,071;6,55
317,334;6,58
317,597;6,62
317,86;6,65
318,123;6,69
318,386;6,73
318,649;6,75
318,912;6,78
319,175;6,8
319,437;6,84
319,7;6,89
319,963;6,91
320,226;6,94
320,489;6,97
320,751;7,01
321,014;7,04
321,277;7,07
321,54;7,1
321,802;7,12
322,065;7,14
322,328;7,18
322,59;7,21
322,853;7,23
323,116;7,27
323,378;7,3
323,641;7,33
323,903;7,36
324,166;7,4
324,428;7,44
324,691;7,47
324,953;7,52
325,216;7,55
325,478;7,6
325,741;7,63
326,003;7,67
326,266;7,69
326,528;7,75
326,791;7,79
327,053;7,82
327,315;7,86
327,578;7,89
327,84;7,92
328,102;7,97
328,365;8,02
328,627;8,05
328,889;8,1
329,151;8,14
329,414;8,19
329,676;8,22
329,938;8,26
330,2;8,29
330,462;8,32
330,725;8,35
330,987;8,38
331,249;8,42
331,511;8,46
331,773;8,49
332,035;8,52
332,297;8,56
332,559;8,62
332,821;8,67
333,083;8,71
333,345;8,76
333,607;8,81
333,869;8,86
334,131;8,91
334,393;8,96
334,655;9,03
334,917;9,07
335,179;9,13
335,44;9,18
335,702;9,25
335,964;9,31
336,226;9,36
336,488;9,41
336,749;9,48
337,011;9,55
337,273;9,62
337,535;9,7
337,796;9,77
338,058;9,83
338,32;9,9
338,581;9,96
338,843;10,02
339,105;10,09
339,366;10,15
339,628;10,23
339,889;10,29
340,151;10,35
340,412;10,42
340,674;10,51
340,935;10,57
341,197;10,65
341,458;10,71
341,72;10,79
341,981;10,86
342,243;10,93
342,504;10,98
342,766;11,05
343,027;11,11
343,288;11,17
343,55;11,22
343,811;11,28
344,072;11,36
344,334;11,43
344,595;11,48
344,856;11,56
345,117;11,6
345,379;11,67
345,64;11,73
345,901;11,79
346,162;11,83
346,423;11,91
346,684;11,97
346,946;12,02
347,207;12,09
347,468;12,15
347,729;12,21
347,99;12,28
348,251;12,36
348,512;12,43
348,773;12,49
349,034;12,56
349,295;12,63
349,556;12,69
349,817;12,74
350,078;12,82
350,339;12,89
350,6;12,98
350,86;13,05
351,121;13,13
351,382;13,21
351,643;13,29
351,904;13,35
352,165;13,43
352,425;13,52
352,686;13,62
352,947;13,71
353,208;13,8
353,468;13,89
353,729;13,96
353,99;14,04
354,25;14,12
354,511;14,23
354,772;14,32
355,032;14,42
355,293;14,53
355,553;14,61
355,814;14,7
356,074;14,81
356,335;14,9
356,596;15,02
356,856;15,1
357,116;15,21
357,377;15,34
357,637;15,44
357,898;15,54
358,158;15,64
358,419;15,77
358,679;15,87
358,939;15,97
359,2;16,06
359,46;16,19
359,72;16,3
359,981;16,4
360,241;16,52
360,501;16,64
360,761;16,74
361,022;16,86
361,282;16,97
361,542;17,09
361,802;17,22
362,062;17,33
362,323;17,47
362,583;17,57
362,843;17,67
363,103;17,8
363,363;17,9
363,623;18
363,883;18,09
364,143;18,23
364,403;18,36
364,663;18,5
364,923;18,62
365,183;18,75
365,443;18,86
365,703;18,98
365,963;19,09
366,223;19,2
366,483;19,33
366,743;19,46
367,002;19,57
367,262;19,71
367,522;19,82
367,782;19,92
368,042;20,05
368,301;20,18
368,561;20,3
368,821;20,43
369,081;20,54
369,34;20,68
369,6;20,79
369,86;20,92
370,119;21,05
370,379;21,16
370,638;21,27
370,898;21,39
371,158;21,52
371,417;21,65
371,677;21,8
371,936;21,96
372,196;22,06
372,455;22,2
372,715;22,32
372,974;22,46
373,234;22,62
373,493;22,77
373,753;22,92
374,012;23,07
374,271;23,22
374,531;23,39
374,79;23,51
375,049;23,68
375,309;23,82
375,568;23,96
375,827;24,12
376,086;24,3
376,346;24,45
376,605;24,6
376,864;24,76
377,123;24,93
377,383;25,04
377,642;25,23
377,901;25,37
378,16;25,54
378,419;25,68
378,678;25,83
378,937;25,95
379,196;26,1
379,455;26,23
379,714;26,37
379,973;26,51
380,232;26,69
380,491;26,84
380,75;26,98
381,009;27,13
381,268;27,29
381,527;27,43
381,786;27,58
382,045;27,75
382,304;27,91
382,563;28,02
382,821;28,19
383,08;28,31
383,339;28,46
383,598;28,59
383,857;28,76
384,115;28,91
384,374;29,08
384,633;29,23
384,891;29,42
385,15;29,57
385,409;29,72
385,667;29,87
385,926;30,03
386,185;30,17
386,443;30,32
386,702;30,47
386,96;30,6
387,219;30,75
387,477;30,89
387,736;31,03
387,994;31,23
388,253;31,37
388,511;31,56
388,77;31,7
389,028;31,85
389,287;32
389,545;32,18
389,803;32,34
390,062;32,48
390,32;32,63
390,578;32,8
390,837;32,99
391,095;33,15
391,353;33,31
391,612;33,48
391,87;33,63
392,128;33,78
392,386;33,95
392,644;34,13
392,903;34,28
393,161;34,42
393,419;34,55
393,677;34,69
393,935;34,84
394,193;35,01
394,451;35,19
394,709;35,35
394,967;35,5
395,225;35,66
395,483;35,84
395,741;35,98
395,999;36,14
396,257;36,29
396,515;36,43
396,773;36,57
397,031;36,74
397,289;36,93
397,547;37,05
397,805;37,21
398,062;37,35
398,32;37,49
398,578;37,65
398,836;37,84
399,094;37,97
399,351;38,14
399,609;38,27
399,867;38,39
400,124;38,53
400,382;38,66
400,64;38,79
400,897;38,94
401,155;39,09
401,413;39,25
401,67;39,4
401,928;39,57
402,185;39,73
402,443;39,87
402,701;40
402,958;40,15
403,216;40,28
403,473;40,44
403,73;40,58
403,988;40,72
404,245;40,8
404,503;40,94
404,76;41,06
405,018;41,22
405,275;41,4
405,532;41,54
405,79;41,69
406,047;41,85
406,304;41,98
406,561;42,15
406,819;42,25
407,076;42,39
407,333;42,49
407,59;42,63
407,848;42,79
408,105;42,93
408,362;43,1
408,619;43,25
408,876;43,38
409,133;43,54
409,39;43,69
409,647;43,83
409,904;44,03
410,161;44,17
410,418;44,31
410,675;44,44
410,932;44,58
411,189;44,71
411,446;44,82
411,703;44,98
411,96;45,13
412,217;45,3
412,474;45,45
412,731;45,6
412,988;45,72
413,245;45,84
413,501;45,99
413,758;46,12
414,015;46,25
414,272;46,39
414,529;46,51
414,785;46,61
415,042;46,75
415,299;46,84
415,555;46,98
415,812;47,12
416,069;47,23
416,325;47,37
416,582;47,5
416,838;47,65
417,095;47,78
417,352;47,89
417,608;48,01
417,865;48,13
418,121;48,28
418,378;48,45
418,634;48,57
418,891;48,71
419,147;48,85
419,403;49,01
419,66;49,16
419,916;49,34
420,173;49,51
420,429;49,66
420,685;49,8
420,942;49,93
421,198;50,04
421,454;50,2
421,711;50,34
421,967;50,49
422,223;50,63
422,479;50,75
422,735;50,89
422,992;51,01
423,248;51,14
423,504;51,25
423,76;51,37
424,016;51,51
424,272;51,62
424,528;51,72
424,784;51,81
425,041;51,92
425,297;51,99
425,553;52,14
425,809;52,25
426,065;52,37
426,32;52,51
426,576;52,65
426,832;52,75
427,088;52,87
427,344;52,97
427,6;53,11
427,856;53,21
428,112;53,33
428,368;53,43
428,623;53,54
428,879;53,65
