Data from GaranzaWhite_Reflection__2__42.txt Node;
292,014;3,61
292,278;3,62
292,543;3,62
292,807;3,62
293,072;3,64
293,336;3,64
293,6;3,65
293,865;3,66
294,129;3,67
294,394;3,69
294,658;3,69
294,922;3,7
295,187;3,7
295,451;3,71
295,715;3,73
295,98;3,73
296,244;3,73
296,508;3,74
296,773;3,74
297,037;3,75
297,301;3,76
297,565;3,77
297,829;3,77
298,094;3,78
298,358;3,79
298,622;3,81
298,886;3,81
299,15;3,82
299,414;3,84
299,678;3,85
299,942;3,85
300,206;3,85
300,47;3,86
300,734;3,87
300,998;3,88
301,262;3,89
301,526;3,9
301,79;3,9
302,054;3,91
302,318;3,92
302,582;3,93
302,846;3,92
303,11;3,93
303,374;3,94
303,637;3,94
303,901;3,95
304,165;3,94
304,429;3,95
304,693;3,96
304,956;3,97
305,22;3,96
305,484;3,97
305,747;3,98
306,011;3,98
306,275;3,99
306,538;4
306,802;4
307,066;4
307,329;4
307,593;4,02
307,856;4,03
308,12;4,04
308,384;4,05
308,647;4,04
308,911;4,04
309,174;4,04
309,438;4,04
309,701;4,05
309,964;4,04
310,228;4,05
310,491;4,04
310,755;4,06
311,018;4,07
311,281;4,08
311,545;4,09
311,808;4,08
312,071;4,08
312,335;4,09
312,598;4,1
312,861;4,1
313,124;4,09
313,388;4,09
313,651;4,1
313,914;4,09
314,177;4,1
314,44;4,11
314,704;4,12
314,967;4,12
315,23;4,12
315,493;4,13
315,756;4,12
316,019;4,13
316,282;4,13
316,545;4,13
316,808;4,13
317,071;4,13
317,334;4,13
317,597;4,14
317,86;4,13
318,123;4,12
318,386;4,13
318,649;4,13
318,912;4,13
319,175;4,12
319,437;4,14
319,7;4,15
319,963;4,14
320,226;4,13
320,489;4,14
320,751;4,13
321,014;4,13
321,277;4,14
321,54;4,14
321,802;4,14
322,065;4,14
322,328;4,14
322,59;4,14
322,853;4,14
323,116;4,15
323,378;4,16
323,641;4,17
323,903;4,18
324,166;4,19
324,428;4,19
324,691;4,18
324,953;4,18
325,216;4,17
325,478;4,19
325,741;4,19
326,003;4,19
326,266;4,2
326,528;4,22
326,791;4,22
327,053;4,22
327,315;4,21
327,578;4,2
327,84;4,2
328,102;4,2
328,365;4,21
328,627;4,23
328,889;4,22
329,151;4,22
329,414;4,21
329,676;4,21
329,938;4,21
330,2;4,22
330,462;4,21
330,725;4,22
330,987;4,22
331,249;4,23
331,511;4,23
331,773;4,23
332,035;4,23
332,297;4,23
332,559;4,23
332,821;4,23
333,083;4,25
333,345;4,25
333,607;4,26
333,869;4,27
334,131;4,26
334,393;4,28
334,655;4,28
334,917;4,29
