Data from GaranzaWhite_Reflection__3__43.txt Node;
292,278;8,78
292,543;8,82
292,807;8,88
293,072;8,94
293,336;8,99
293,6;9,05
293,865;9,12
294,129;9,18
294,394;9,23
294,658;9,29
294,922;9,35
295,187;9,41
295,451;9,48
295,715;9,53
295,98;9,59
296,244;9,65
296,508;9,7
296,773;9,76
297,037;9,82
297,301;9,87
297,565;9,92
297,829;9,96
298,094;10,02
298,358;10,07
298,622;10,12
298,886;10,17
299,15;10,23
299,414;10,27
299,678;10,33
299,942;10,37
300,206;10,42
300,47;10,45
300,734;10,48
300,998;10,52
301,262;10,56
301,526;10,59
301,79;10,63
302,054;10,66
302,318;10,7
302,582;10,74
302,846;10,77
303,11;10,8
303,374;10,85
303,637;10,87
303,901;10,91
304,165;10,94
304,429;10,98
304,693;11,01
304,956;11,05
305,22;11,05
305,484;11,08
305,747;11,1
306,011;11,13
306,275;11,17
306,538;11,2
306,802;11,22
307,066;11,25
307,329;11,28
307,593;11,32
307,856;11,34
308,12;11,36
308,384;11,39
308,647;11,41
308,911;11,43
309,174;11,46
309,438;11,47
309,701;11,49
309,964;11,49
310,228;11,52
310,491;11,53
310,755;11,57
311,018;11,6
311,281;11,61
311,545;11,64
311,808;11,66
312,071;11,69
312,335;11,71
312,598;11,73
312,861;11,76
313,124;11,76
313,388;11,78
313,651;11,81
313,914;11,82
314,177;11,83
314,44;11,85
314,704;11,86
314,967;11,88
315,23;11,9
315,493;11,92
315,756;11,92
316,019;11,95
316,282;11,96
316,545;11,97
316,808;11,99
317,071;11,99
317,334;12
317,597;12,01
317,86;12,01
318,123;12,03
318,386;12,04
318,649;12,06
318,912;12,06
319,175;12,07
319,437;12,09
319,7;12,11
319,963;12,12
320,226;12,12
320,489;12,12
320,751;12,13
321,014;12,13
321,277;12,15
321,54;12,17
321,802;12,19
322,065;12,2
322,328;12,22
322,59;12,22
322,853;12,24
323,116;12,27
323,378;12,3
323,641;12,3
323,903;12,31
324,166;12,33
324,428;12,35
324,691;12,36
324,953;12,36
325,216;12,37
325,478;12,39
325,741;12,41
326,003;12,43
326,266;12,44
326,528;12,47
326,791;12,48
327,053;12,48
327,315;12,48
327,578;12,49
327,84;12,5
328,102;12,53
328,365;12,54
328,627;12,54
328,889;12,53
329,151;12,55
329,414;12,56
329,676;12,56
329,938;12,56
330,2;12,58
