Data from GaranzaWhite_Reflection__0__40.txt Node;
292,278;1,81
292,543;1,8
292,807;1,8
293,072;1,81
293,336;1,8
293,6;1,8
293,865;1,8
294,129;1,79
294,394;1,79
294,658;1,79
294,922;1,79
295,187;1,79
295,451;1,79
295,715;1,79
295,98;1,79
296,244;1,8
296,508;1,8
296,773;1,8
297,037;1,8
297,301;1,8
297,565;1,8
297,829;1,8
298,094;1,8
298,358;1,81
298,622;1,8
298,886;1,8
299,15;1,8
299,414;1,8
299,678;1,81
299,942;1,8
300,206;1,8
300,47;1,8
300,734;1,8
300,998;1,79
301,262;1,8
301,526;1,79
301,79;1,78
302,054;1,78
302,318;1,77
302,582;1,77
302,846;1,77
303,11;1,76
303,374;1,76
303,637;1,75
303,901;1,74
304,165;1,73
304,429;1,74
304,693;1,74
304,956;1,74
305,22;1,74
305,484;1,74
305,747;1,74
306,011;1,73
306,275;1,73
306,538;1,73
306,802;1,73
307,066;1,72
307,329;1,71
307,593;1,73
307,856;1,73
308,12;1,73
308,384;1,74
308,647;1,74
308,911;1,74
309,174;1,73
309,438;1,73
309,701;1,73
309,964;1,72
310,228;1,72
310,491;1,72
310,755;1,72
311,018;1,73
311,281;1,74
311,545;1,73
311,808;1,74
312,071;1,73
312,335;1,73
312,598;1,73
312,861;1,73
313,124;1,71
313,388;1,72
313,651;1,71
313,914;1,7
314,177;1,69
314,44;1,7
314,704;1,7
314,967;1,7
315,23;1,7
315,493;1,7
315,756;1,7
316,019;1,7
316,282;1,7
316,545;1,68
316,808;1,69
317,071;1,69
317,334;1,68
317,597;1,68
317,86;1,68
318,123;1,67
318,386;1,67
318,649;1,68
318,912;1,68
319,175;1,68
319,437;1,68
319,7;1,68
319,963;1,67
320,226;1,67
320,489;1,66
320,751;1,66
321,014;1,66
321,277;1,67
321,54;1,67
321,802;1,67
322,065;1,68
322,328;1,66
322,59;1,65
322,853;1,65
323,116;1,66
323,378;1,66
323,641;1,66
323,903;1,66
324,166;1,67
324,428;1,66
324,691;1,65
324,953;1,65
325,216;1,65
325,478;1,65
325,741;1,65
326,003;1,64
326,266;1,65
326,528;1,65
326,791;1,64
327,053;1,63
327,315;1,63
327,578;1,62
327,84;1,63
328,102;1,63
328,365;1,63
328,627;1,63
328,889;1,62
329,151;1,62
329,414;1,61
329,676;1,61
329,938;1,61
330,2;1,61
330,462;1,61
330,725;1,61
330,987;1,61
331,249;1,61
331,511;1,63
331,773;1,63
332,035;1,62
332,297;1,62
332,559;1,61
332,821;1,61
333,083;1,62
333,345;1,62
333,607;1,61
333,869;1,61
334,131;1,6
334,393;1,63
334,655;1,61
334,917;1,62
335,179;1,61
335,44;1,61
335,702;1,61
335,964;1,61
336,226;1,61
336,488;1,61
336,749;1,6
337,011;1,6
337,273;1,6
337,535;1,6
337,796;1,59
338,058;1,6
338,32;1,61
338,581;1,6
338,843;1,59
339,105;1,6
339,366;1,6
339,628;1,6
339,889;1,6
340,151;1,6
340,412;1,6
340,674;1,6
340,935;1,6
341,197;1,6
341,458;1,6
341,72;1,61
341,981;1,6
342,243;1,59
342,504;1,59
342,766;1,59
343,027;1,58
343,288;1,59
343,55;1,59
343,811;1,57
344,072;1,59
344,334;1,58
344,595;1,56
344,856;1,56
345,117;1,55
345,379;1,55
345,64;1,57
345,901;1,57
346,162;1,56
346,423;1,56
346,684;1,54
346,946;1,54
347,207;1,53
347,468;1,54
347,729;1,54
347,99;1,53
348,251;1,53
348,512;1,52
348,773;1,53
349,034;1,53
349,295;1,53
349,556;1,5
349,817;1,51
350,078;1,5
350,339;1,52
350,6;1,53
350,86;1,53
351,121;1,52
351,382;1,51
351,643;1,51
351,904;1,52
352,165;1,54
352,425;1,54
352,686;1,55
352,947;1,54
353,208;1,55
353,468;1,56
353,729;1,57
353,99;1,56
354,25;1,57
354,511;1,57
354,772;1,57
355,032;1,59
355,293;1,58
355,553;1,58
355,814;1,56
356,074;1,56
356,335;1,55
356,596;1,54
356,856;1,55
357,116;1,56
357,377;1,56
357,637;1,55
357,898;1,55
358,158;1,55
358,419;1,56
358,679;1,56
358,939;1,55
359,2;1,55
359,46;1,56
359,72;1,54
359,981;1,54
360,241;1,52
360,501;1,51
360,761;1,51
361,022;1,51
361,282;1,51
361,542;1,5
361,802;1,5
362,062;1,51
362,323;1,49
362,583;1,48
362,843;1,47
363,103;1,47
363,363;1,48
363,623;1,46
363,883;1,44
364,143;1,45
364,403;1,43
364,663;1,42
364,923;1,41
365,183;1,41
365,443;1,43
365,703;1,45
365,963;1,46
366,223;1,46
366,483;1,45
366,743;1,46
367,002;1,46
367,262;1,46
367,522;1,46
367,782;1,46
368,042;1,47
368,301;1,46
368,561;1,46
368,821;1,46
369,081;1,47
369,34;1,46
369,6;1,47
369,86;1,48
370,119;1,49
370,379;1,49
370,638;1,49
370,898;1,47
371,158;1,46
371,417;1,47
371,677;1,49
371,936;1,49
372,196;1,5
372,455;1,51
372,715;1,52
372,974;1,52
373,234;1,52
373,493;1,52
373,753;1,53
374,012;1,53
374,271;1,52
374,531;1,53
374,79;1,53
375,049;1,53
375,309;1,53
375,568;1,54
375,827;1,55
376,086;1,55
376,346;1,56
376,605;1,58
376,864;1,57
377,123;1,58
377,383;1,58
377,642;1,56
377,901;1,55
378,16;1,54
378,419;1,53
378,678;1,53
378,937;1,52
379,196;1,5
379,455;1,49
379,714;1,48
379,973;1,48
380,232;1,49
380,491;1,49
380,75;1,48
381,009;1,48
381,268;1,47
381,527;1,46
381,786;1,46
382,045;1,43
382,304;1,42
382,563;1,42
382,821;1,42
383,08;1,45
383,339;1,45
383,598;1,44
383,857;1,45
384,115;1,46
384,374;1,48
384,633;1,49
384,891;1,5
385,15;1,52
385,409;1,51
385,667;1,5
385,926;1,48
386,185;1,49
386,443;1,49
386,702;1,49
386,96;1,5
387,219;1,51
387,477;1,52
387,736;1,53
387,994;1,52
388,253;1,51
388,511;1,5
388,77;1,5
389,028;1,52
389,287;1,52
389,545;1,51
389,803;1,49
390,062;1,49
390,32;1,48
390,578;1,46
390,837;1,47
391,095;1,48
391,353;1,5
391,612;1,5
391,87;1,49
392,128;1,5
392,386;1,48
392,644;1,47
392,903;1,47
393,161;1,46
393,419;1,46
393,677;1,44
393,935;1,43
394,193;1,43
394,451;1,42
394,709;1,41
394,967;1,43
395,225;1,42
395,483;1,42
395,741;1,44
395,999;1,46
396,257;1,46
396,515;1,44
396,773;1,43
397,031;1,43
397,289;1,43
397,547;1,43
397,805;1,42
398,062;1,43
398,32;1,43
398,578;1,43
398,836;1,43
399,094;1,43
399,351;1,43
399,609;1,42
399,867;1,42
400,124;1,42
400,382;1,43
400,64;1,44
400,897;1,44
401,155;1,43
401,413;1,43
401,67;1,41
401,928;1,43
402,185;1,42
402,443;1,43
402,701;1,42
402,958;1,43
403,216;1,44
403,473;1,43
403,73;1,43
403,988;1,45
404,245;1,46
404,503;1,49
404,76;1,5
405,018;1,51
405,275;1,52
405,532;1,52
405,79;1,5
406,047;1,51
406,304;1,53
406,561;1,53
406,819;1,52
407,076;1,55
407,333;1,54
407,59;1,54
407,848;1,53
408,105;1,54
408,362;1,53
408,619;1,53
408,876;1,53
409,133;1,53
409,39;1,52
409,647;1,52
409,904;1,5
410,161;1,52
410,418;1,54
410,675;1,55
410,932;1,55
411,189;1,56
411,446;1,55
411,703;1,55
411,96;1,56
412,217;1,54
412,474;1,54
412,731;1,54
412,988;1,54
413,245;1,53
413,501;1,5
413,758;1,5
414,015;1,5
414,272;1,49
414,529;1,49
414,785;1,49
415,042;1,49
415,299;1,46
